Booklet,UNIVERSITY,Participantnumber,Age,Sex,Objectivescore,Objectivereturnscore,Subjectivescore,Subjectivereturnscore,Inductionrating,Q1HANDLOWEROBB,Q1HANDLOWERSUBJ,Q2MAGNETICOBJ,Q2MAGNETICSUBJ,Q3MOSQUITOOBJ,Q3MOSQUITOSUBJ,Q4TASTEOBJ,TASTEMEAN,Q4TASTE1SUBJ,Q4TASTE2SUBJ,Q5RIGIDITYOBJ,Q5RIGIDITYSUBJ,Q6IMMOBILEOBJ,Q6IMMOBILESUBJ,Q7MUSICOBJ,Q7MUSICSUBJ,Q8BALLSOBJ,Q8BALLSSUBJ,Q9AMNESIAOBJ,Q9AMNESIASUBJ,Q10PHSOBJ,Q10PHSSUBJ1,Q10PHSSUBJ2,PHSSUBJECTIVEGEOMETRICMEAN
2,2,409,18,Female,1, ,0.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,18,Female,2,1,0.1,0.1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,16,18,Male,3, ,0.1,,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,42,18,Male,0, ,0.3,,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,390,18,Female,1, ,0.3,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0
2,1,273,18,Female,3, ,0.4,,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,5,0,0
2,2,393,18,Female,1, ,0.5,,1,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,21,18,Female,1, ,0.5,,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4,0
1,1,46,18,Female,0, ,0.5,,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,119,18,Female,2, ,0.6,,1,1,1,1,3,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,87,18,Female,3, ,0.6,,2,1,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,0,0
