id,Missing,HGSHS.A1,HGSHS.A2,HGSHS.A3,HGSHS.A4,HGSHS.A5,HGSHS.A6,HGSHS.A7,HGSHS.A8,HGSHS.A9,HGSHS.A10,HGSHS.A11,HGSHS.A12PRE,HGSHS.A12POST,HGSHS.A12,INV.1,INV.2,INV.3,INV.4,INV.5,INV.6,INV.7,INV.8,INV.9,INV.10,INV.11,INV.12
1,0,1,0,1,1,0,1,1,1,1,1,1,3,4,1,2,1,4,2,1,4,5,3,0,5,3,2
2,0,1,0,1,0,1,1,1,0,1,0,1,7,2,0,2,3,5,0,4,5,4,0,2,2,2,4
3,0,0,1,1,0,0,1,1,0,1,1,1,6,1,0,5,5,5,2,0,4,5,3,4,5,2,5
4,0,0,1,1,1,1,1,1,1,0,1,1,5,2,0,3,4,5,5,4,2,5,4,2,5,3,5
5,0,0,1,1,1,1,0,1,1,0,1,1,5,1,0,1,3,4,5,5,3,4,4,0,5,3,4
6,0,1,0,1,0,0,0,1,0,1,0,0,7,1,0,2,1,1,0,0,0,3,0,2,0,0,0
7,0,1,1,1,0,1,0,1,0,0,1,0,5,0,0,4,5,3,2,4,3,3,2,0,4,0,0
8,0,0,1,1,0,0,0,1,0,0,0,0,6,0,0,0,2,4,2,0,3,4,0,0,0,0,0
9,0,0,1,1,0,1,0,1,1,0,0,0,4,1,0,3,4,5,2,4,4,5,3,0,3,0,0
10,0,1,1,1,0,1,1,1,1,0,1,0,3,5,1,3,3,5,2,5,5,5,4,0,5,0,3
11,0,1,1,1,0,0,0,1,0,1,0,0,8,1,0,3,3,4,2,2,2,5,3,1,3,0,0
12,0,1,1,1,0,0,0,1,0,0,1,0,5,1,0,5,3,5,0,0,0,5,0,0,5,0,5
13,0,0,0,1,0,0,0,1,0,0,0,1,7,2,0,0,0,3,0,0,0,2,0,0,0,1,0
14,0,0,1,1,0,1,1,0,0,0,0,1,5,1,0,4,4,3,3,3,2,3,2,2,4,1,2
15,0,1,0,1,1,0,0,0,0,0,1,0,6,0,0,2,2,1,0,1,0,0,1,0,1,0,2
16,0,0,1,1,1,1,1,1,1,0,0,0,6,1,0,2,2,1,3,3,4,4,0,0,0,0,5
17,0,0,1,0,0,0,1,1,0,0,0,0,7,0,0,2,1,3,1,1,1,3,1,0,1,0,0
18,0,0,1,1,1,1,1,1,1,0,1,0,3,3,1,3,4,2,3,4,5,3,4,0,5,0,2
19,0,1,1,1,0,0,0,1,0,0,0,0,3,1,0,2,2,1,0,0,0,0,0,0,0,0,0
20,0,0,1,1,0,0,0,0,1,0,1,0,4,1,0,0,3,4,0,0,3,0,0,0,3,0,0
21,0,1,1,1,0,0,0,1,0,0,0,0,4,0,0,4,2,5,0,3,0,5,0,0,3,0,0
22,0,1,0,1,0,0,1,1,1,0,1,0,4,0,0,4,3,5,5,5,5,3,0,2,2,0,5
23,0,0,1,0,0,1,0,1,1,0,0,1,6,2,0,0,4,4,0,2,2,4,3,0,2,1,0
24,0,1,0,1,0,1,1,1,1,0,1,0,4,0,0,2,1,5,0,2,4,5,5,0,5,0,0
25,0,0,1,0,0,1,1,1,1,0,1,0,4,0,0,3,3,4,3,5,4,5,5,0,5,0,0
26,0,0,1,1,0,1,1,1,1,0,1,1,7,2,0,3,4,4,4,5,4,4,5,0,5,4,4
27,0,1,1,1,1,1,1,1,1,0,1,1,6,3,0,2,5,5,5,3,4,5,5,0,4,4,3
28,0,1,0,1,0,0,0,1,0,0,0,1,7,0,0,4,0,1,0,0,0,4,0,0,0,0,0
29,0,0,1,1,1,1,1,1,1,0,1,1,5,1,0,0,5,5,5,5,5,5,5,0,5,4,3
30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,3,4,4,4,3,0,2,0,0
31,0,1,1,1,0,0,0,1,0,0,0,0,6,1,0,2,2,3,2,1,1,2,1,0,1,0,2
32,0,1,1,1,1,1,0,1,1,1,1,1,4,1,0,4,4,5,5,3,3,5,4,5,4,3,0
33,0,0,1,1,0,0,0,1,0,0,0,1,2,4,1,3,4,5,0,0,0,2,0,0,1,1,0
34,0,1,0,0,1,0,0,0,0,1,1,0,2,6,1,3,4,0,1,1,1,3,1,1,2,1,3
35,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
36,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,2,3,4,0,0,0,4,0,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,1,1,2,1,0,1,1,1
38,0,0,1,1,1,0,0,1,0,0,0,0,5,0,0,1,3,5,0,0,3,5,0,0,4,0,0
39,0,1,1,1,0,1,0,1,0,0,0,0,7,0,0,3,4,4,0,1,0,1,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,2,0,0,0,1,0,0,0,0,0
41,0,1,1,1,0,0,0,1,0,0,0,0,6,0,0,4,3,5,0,0,0,2,0,0,0,0,0
42,0,1,1,1,0,1,0,1,0,0,0,1,5,0,0,4,4,3,0,4,0,4,0,0,0,1,0
43,0,1,0,1,0,0,0,1,0,0,0,0,5,1,0,2,1,2,0,0,0,2,0,0,0,0,0
44,0,0,1,1,1,1,1,0,1,0,1,1,4,1,0,4,2,5,3,3,3,2,5,0,4,1,3
45,0,0,1,1,0,1,0,1,1,0,1,0,4,1,0,3,3,4,4,4,2,3,3,0,0,0,0
46,0,0,0,1,0,0,0,1,0,0,0,0,4,1,0,2,1,3,0,1,0,1,0,0,0,0,0
47,0,0,1,1,1,1,1,1,1,0,1,0,3,0,0,3,5,4,2,2,0,5,1,3,3,0,0
48,0,0,1,1,0,0,0,1,0,0,0,0,4,1,0,4,2,5,2,2,2,0,3,2,3,0,5
49,0,0,1,1,1,1,1,1,1,0,1,0,2,6,1,3,3,4,5,4,5,5,5,2,4,0,3
50,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,3,1,4,0,0,0,0,4,0,0,0,0
51,0,0,0,0,0,1,1,1,1,0,0,1,8,0,0,2,2,1,3,2,2,5,4,2,0,1,0
52,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0
53,0,1,1,1,0,1,0,1,0,0,0,1,9,1,0,2,2,2,0,1,4,5,0,0,0,1,0
54,0,0,0,0,1,0,1,1,0,0,1,1,5,1,0,0,2,0,0,0,3,5,0,0,5,1,3
55,0,0,1,1,1,1,1,1,1,0,1,0,4,1,0,2,2,4,4,2,5,4,5,0,5,2,4
56,0,1,1,1,0,0,1,0,0,0,0,0,0,4,1,5,5,5,4,3,4,4,3,0,2,0,0
57,0,0,1,0,0,1,1,1,1,0,1,0,1,2,1,0,0,0,3,0,2,3,3,0,4,0,3
58,0,1,1,1,0,1,1,0,1,1,1,1,6,2,0,2,2,4,4,5,4,3,2,2,4,5,1
59,0,1,1,1,1,1,1,1,1,1,1,1,3,4,1,5,4,5,4,5,4,5,3,2,4,2,4
60,0,1,1,1,0,0,0,1,0,1,0,0,5,0,0,2,4,5,0,0,0,4,0,3,0,0,0
61,0,1,1,1,1,1,1,1,0,0,0,0,7,2,0,5,5,5,4,4,5,5,0,0,0,0,0
62,0,1,1,1,1,0,0,0,0,0,1,1,2,2,1,5,5,5,0,0,0,0,1,0,0,1,0
63,0,1,1,1,1,1,1,1,1,1,0,0,5,3,0,5,4,4,2,2,0,5,3,2,0,0,4
64,0,1,1,1,0,0,0,1,0,0,0,0,6,2,0,4,4,5,4,2,3,4,2,0,0,0,5
65,0,0,0,0,1,0,1,1,0,0,0,0,5,0,0,0,1,1,1,1,2,3,1,0,1,0,0
66,0,1,1,0,1,0,0,1,0,0,0,0,4,0,0,2,2,0,0,2,0,3,1,1,1,0,1
67,0,1,1,1,0,0,0,0,0,0,0,0,9,0,0,0,2,3,0,0,0,0,0,0,0,0,0
68,0,1,1,1,0,1,1,1,1,0,1,0,4,3,0,4,5,4,5,5,5,5,5,0,5,0,4
69,0,1,0,1,0,0,0,1,1,0,1,1,4,0,0,2,5,2,0,0,0,5,0,0,0,0,5
70,0,1,1,1,0,0,1,1,1,0,1,0,4,0,0,4,3,4,0,0,3,3,4,0,4,0,0
71,0,0,1,1,0,0,0,1,1,0,0,0,8,1,0,1,3,4,0,3,0,5,5,0,2,0,2
72,0,0,1,1,1,1,0,1,0,0,0,0,8,0,0,4,4,5,5,3,2,3,1,0,3,0,0
