ParticipantNumber,Condition,Age,Gender,FIRSTOBJECTIVE/10,FIRSTSUBJECTIVE/5,RTsubj/5,RTObjectiveScore,ColoursRecalled,NumColoursRecalled,HandLoweringObjectiveRating,HandsTogetherObjectiveRating,MosquitoObjectiveRating,ArmRigidityObjectiveRating,ArmImmobilisationObjectiveRating,MusicObjectiveRating,TasteObjectiveRating,AmnesiaObjectiveRating,VisualHallucinationObjectiveRating,PostHypnoticObjectiveRating,TotalObjectiveScoreWithoutPostSessionExp,HandLoweringSubjectiveRating,HandsTogetherSubjectiveRating,MosquitoSubjectiveRating,TasteSubjectiveRating,ArmRigiditySubjectiveRating,ArmImmobilisationSubjectiveRating,MusicSubjectiveRating,VisualHallucinationSubjectiveRating,AmnesiaSubjectiveRating,PostHypnoticSubjectiveRating,TotalSubjectiveScore,SweetObjRating,SweetObjYN,SourObjRating,SourObjYN,PreSuggestionRecall,PostSuggestionRecall,SweetSubRating,SourSubRating,PostHypnoticSub1,PostHypnoticSub2,ExperimentDuration,MASscore,MCSDScore,PSWQscore,RETEST,ParticipantNumber_48,Condition_49,Age_50,Gender_51,ColoursRecalled_52,NumColoursRecalled_53,VisualHallucinationObjectiveRating_54,PostHypnoticObjectiveRating_55,HandLoweringObjectiveRating_56,HandsTogetherObjectiveRating_57,MosquitoObjectiveRating_58,ArmRigidityObjectiveRating_59,ArmImmobilisationObjectiveRating_60,MusicObjectiveRating_61,TasteObjectiveRating_62,AmnesiaObjectiveRating_63,TotalObjectiveScoreWithoutPostSessionExp_64,HandLoweringSubjectiveRating_65,HandsTogetherSubjectiveRating_66,MosquitoSubjectiveRating_67,TasteSubjectiveRating_68,ArmRigiditySubjectiveRating_69,ArmImmobilisationSubjectiveRating_70,MusicSubjectiveRating_71,VisualHallucinationSubjectiveRating_72,AmnesiaSubjectiveRating_73,PostHypnoticSubjectiveRating_74,TotalSubjectiveScore_75,SweetObjRating_76,SweetObjYN_77,SourObjRating_78,SourObjYN_79,PreSuggestionRecall_80,PostSuggestionRecall_81,SweetSubRating_82,SourSubRating_83,PostHypnoticSub1_84,PostHypnoticSub2_85
2,1,21,0,7,3.72,1.15,4,RED BLUE GREEN,3,1,1,0,1,0,1,1,1,0,1,7,5,4,4,3,5,3,3,3,4,3.16228,37.1623,2,1,3,1,I FELT MY BODY RELAXING AND WHEN THE MOSQUITO SCENARIO CAME ON IT MADE ME EMOTIONAL FOR SOME REASON. IT MADE ME THINK ABOUT THE ,FIRST ASKED ME TO HOLD MY RIGHT ARM WITH PALM FACING UP AND IMAGINE AN OBJECT. ASKED ME TO SEE THE BALLS ON THE SCREEN. ASKED ME,3,3,5,2,79.824,32,14,48,1,2,0,21,0,BLUE GREEN RED,3,0,0,1,1,0,1,0,0,1,0,4,3,2,1,0.5,3,1,0,0,1,0,11.5,1,1,1,0,"I WAS ASKED TO TYPE THE BALLS ON THE SCREEN- COLOUR. MOSQUITO ON MY HAND. HAPPYY BIRTHDAY SSONG, PRESS SPACE BAR 6 TIMES WHEN I ",WALKED DOWN STEPS WHILST HE COUNTED 0-20. MOSQUITO WANTED TO BITE ME.,1,0,5,0
6,1,18,0,3,1.47,1.1,3,RED GREEN BLUE,3,0,1,0,0,0,0,1,0,0,1,3,3,3,2,1,2,1,0,0,1,1.73205,14.7321,1,0,2,1,"HELD OUT MY RIGHT ARM TWICE. IMAGINED HOLDING SOMETHING HEAVY AND THEN IMAGINED MY ARM STIFF. SAW PICTURE OF THREE BALLS, TOLD T","SUPPOSED TO HEAR HAPPY BIRTHDAY PLAYING, DIDN'T HEAR ANYTHING. PUT BOTH ARMS OUT AND THEY DREW IN TOGETHER.",0,2,3,1,74.2675,24,16,66,1,6,0,18,0,"BLUE, GREEN, RED",3,0,1,1,1,0,0,0,0,0,0,3,3,2,2,0,1,1,1,0,1,0,11,1,0,1,0,STRETCHED RIGHT ARM OUT TO FEEL THE WEIGHT OF A BALL IN MY HAND. STRETCHED ARM OUT TO FEEL THEM BEING PULLED TOGETHER. SAW A PIC,MEANT TO HEAR HAPPY BIRTHDAY PLAYING - I DID NOT. FEEL A MOSQUITO ON MY HAND.,0,0,4,0
18,0,20,0,3,1.15,1.5,4,GREEN BLUE RED,3,1,1,0,0,0,0,1,0,0,0,3,4,1,0,0.5,2,2,0,0,2,0,11.5,2,0,2,1,"FIRSTLY TO LIFT RIGHT ARM UP AND WITH PALM FACING UPWARDS, HAND GOT HEAVY AND STARTED LOWERING. SECONDLY TO LIFT BOTH ARMS UP AN","ARM UP AND FEEL IT GETTING HEAVY, BOTH ARMS FACING AND GOING TOWARDS EACHOTHER, ARM GETTING STIFF. THEN TOLD TO DO THIS TASK AND",0,1,0,1,68.4163,21,19,50,1,18,1,20,0,GREEN RED BLUE,3,0,1,1,1,0,0,0,1,0,0,4,3,3,0,1,2,3,1,0,2,0,15,2,0,1,0,"HAND UP AND WEIGHT, BOTH HANDS FACING MAGNET, MOSQUITO, HAPPY BIRTHDAY SINGING GETTING LOUDER, PRESS SPACE BAR SIX TIMES WHEN PL","RAISE HAND WHEN YOU HEAR HAPPY BIRTHDAY, SWEET TASTE IN MOUTH THEN TURNS SOUR, BOWLING BALL IN HAND WHEN IT WENT HEAVY, LEFT HAN",2,0,5,0
20,0,21,0,3,2.1,2.2,4,RED GREEN BLUE,3,1,1,0,1,0,0,0,0,0,0,3,5,4,0,0,4,3,0,0,5,0,21,2,0,1,0,"RMS INFROT OF ME WHILE SENSATIONS WERE DESCRIBED , SENSES WERE DESCRIBED SUCH AS SOUND OF A MOSQUITO AND IT LANDING ON MY HAND, ",I COULD FEEL THE SENSATION OF WEIGHT PUSHING MY ARM DOWN REALLY STRONGLY BUT I COULDNT HEAR OR TASTE THINGS DESCRIBED TO ME. ONE,0,0,5,0,66.0926,25,15,57,1,20,1,21,0,BLUE GREEN RED,3,0,1,1,1,0,1,0,0,0,0,4,5,4,0,0,3,1,0,0,4,5,22,1,0,1,0,"RIGHT HAND OUT FELT HEAVY, BOTH HANDS OUT FORCED TOGETHER, MOSQIUITO SOUND AND LANDING ON AM, HAPPY BIRTHDAY PLAYED AT VARIOUS V","RIGHT ARM STIFF LIKE IN SPLINT, ASKED TO TRY TO BEND IT ",0,0,5,5
21,1,18,1,6,3.1,0.9,3,BLUE GREEN RED,3,0,1,1,1,1,0,1,0,0,1,6,3,5,5,5,5,5,0,0,3,0,31,3,1,4,1,I WAS ASKED TO STARE AT THREE BALLS THAT WERE BLUE GREEN AND RED THEN I WAS ASKED TO PRESS THE SPACE BAR 6 TIMES BUT FORGET THAT,EVERYTHING I REMEMBER NOW I ALREADY REMEMBERED,5,5,5,0,73.0408,25,13,57,1,21,0,18,1,BLUE GREEN RED,3,0,0,1,1,1,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,9,3,0,3,0,"WAS TOLD MY HAND HAD A HEAVY OBJECT IN IT, WAS TOLD I WOULD BE ABLE TO HEAR A MOSQUITO, WAS TOLD I WAS BEING PLAYED HAPPY BIRTHD",,3,3,1,0
24,0,18,0,3,2.7,1.9,4,,0,1,0,0,1,1,0,0,0,0,0,3,4,5,0,2.5,5,5,0,0,2,3.4641,26.9641,1,0,4,0,"LEFT HAND FEELING HEAVY, PUTTNG RIGHT HAND UP WHEN HEARING HAPPY BIRTHDAY , PUTTING RIGHT HAND AT SHOULDER LEVEL AND FEELING IT ","SWEET TASTE AND ACID TASTE IN MOUTH, MOSQUITO ON RIGHT HAND, SPACEBAR 6 TIMES",0,5,4,3,64.1459,26,15,41,1,24,1,18,0,BLUE ORANGE GREEN,3,0,0,1,1,0,0,1,0,1,0,4,4,4,0,1,3,5,0,0,0,2,19,2,1,3,1,"LEFT HAND HEAVY, RIGHT ARM STIFF, RIGHT HAND HEAVY BALL, HAPPY BIRTHDAY, SWEET AND BITTER TASTE, MOSQUITO BUZZING, SPACEBAR 6 TI","THE COUNTING, HEAVY BODY, SINKING IN CHAIR",0,2,2,2
29,1,18,0,2,1,0.7,2,GREEN BLUE ORANGE,3,0,1,0,1,0,0,0,0,0,0,2,3,2,0,0,3,2,0,0,0,0,10,1,0,1,0,TOLD TO RELAX SIT COMFORTABLY WITH MY HANDS IN LAP. ONCE RELAXED PUT MY RIGHT ARM UP WITH PALM FACING UP THEN HAD A WEIGHT ON MY,HANDS HEAVY ON LAP.,0,0,1,0,70.3032,28,11,58,1,29,0,18,0,,0,0,1,1,0,0,0,0,0,0,0,2,3,2,0,0,1,1,0,0,0,0,7,1,0,1,0,HOLD HAND OUT AND FEEL WEIGHT. FEEL HANDS COMING TOGETHER. KEEP ARM STIFF. MOSIQUTO. 3 BALLS. HAPPY BIRTHDAY PRESS SPACE BAR 6 T,,0,0,0,0
30,0,18,0,6,2.29,2.45,6,BLUE GREEN RED,3,1,1,1,1,1,0,1,0,0,0,6,5,3,1,0.5,4,3,0,0,4,2.44949,22.9495,2,1,1,1,"I WAS TOLD THAT EVERYTHING THAT HAPPENS I MUST FORGET, BUT THEN AFTER A WHILE I MUST REMEMBER EVERTHING AGAIN. I WAS TOLD TO PRE",CAN'T REMEMBER ANYTHING ELSE,1,0,3,2,68.0093,34,13,65,1,30,1,19,0,BLUE GREEN RED,3,0,1,1,1,1,1,0,0,1,0,6,4,4,2,0.5,5,3,0,0,3,3,24.5,1,1,1,1,"HEAVY ARM, COLOURED BALLS, FORCE BETWEEN HANDS, STIFF ARM, HEAVY HAND, MOSQUITO, SWEET AND SOUR TASTE, GENERALLY ",HEARING HAPPY BIRTHDAY,1,0,3,3
33,0,19,0,5,2.05,2.1,4,BLUE GREEN ORANGE,3,1,1,0,0,0,0,1,1,0,1,5,5,4,0,1.5,4,3,0,0,3,0,20.5,1,0,3,1,"HELD OUT RIGHT ARM. HELD HEAVY OBJECT. HELD OUT BOTH ARMS, PALMS FACING TOAWRDS EACH OTHER. NUMB LEFT",REMEMBER COLOURED BALLS ON SCREEN. MOSQUITO FLYING BY RIGHT HAND. LEFT HAND NUMB. HEARD HAPPY BIRTHDAY SINGING. SOUR TASTE AND S,0,3,5,0,60.653,38,15,74,1,33,1,19,0,GREEN BLUE ORANGE,3,0,0,1,1,0,1,1,0,0,0,4,5,5,0,0,4,4,0,0,3,0,21,1,0,1,0,"HEAVY RIGHT ARM, STIFF RIGHT ARM, HANDS BEING PULLED TOGETHER, MOSQUITO, SOUR AND SEET TASTE, PRESS SPACEBAR 6 TIMES, COLOUR BAL","BEING TOLD TO RELAX, HEAVY RIGHT ARM, STIFF ARM, HANDS BEING PULLED TOGETHER, MOSQUITO FLYING, SWEET TASTE IN MOUTH, SOUR TASTE ",0,0,0,5
38,1,20,1,2,1.9,1.35,1,BLUE GREEN ORANGE,3,0,1,0,0,0,0,1,0,0,0,2,3,4,0,2,3,4,0,0,3,0,19,3,1,2,1,"RIGHT ARM AT SHOULDER LENGTH, PALM UP. IMAGINE HOLDING A HEAVY OBJECT. BOTH ARMS UP AT SHOULDER LENGTH WITH PALMS FACING EACH OT","BOTH HANDS ON LAP. RELAX, FEEL HEAVY BUT COMFORTABLE. RAISE RIGHT ARM TO SHOULDER HEIGHT FOR A SECOND TIME BUT THE ELBOW FEELS S",3,1,0,2,62.8429,9,24,36,1,38,0,20,1,BLUE GREEN ORANGE,3,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1.5,3,2,0,0,0,5,13.5,2,0,2,0,"PRESS SPACE BAR 6 TIMES, SWEET TASTE IN MOUTH, SOUR TASTE IN MOUTH, MOSQUITO SOUND, HEAR HAPPY BIRTHDAY, PICTURE OF THREE BALLS,","IMAGINE WALKING DOWN 20 STEPS, ",1,2,5,5
