age,Sex,SWASH_objective_score,SWASH_subjective_score,Quartile_by_subjective_SWASH,MTS_groups,touch_to_human_responses,touch_to_dummy_or_object_responses,pain_responses,itch_responses,REALTOUCHN14,Real_touch_video_intensity#touch,Real_touch_video_intensity#tingling,Real_touch_video_intensity#itchiness,Real_touch_video_intensity#painfultouch,Real_touch_video_intensity#painwithouttouch,Real_touch_video_intensity#feelingofbeingscratched,Real_touch_video_intensity#other,Real_touch_video_intensity#otherreclassifiedastouch,UNREALTOUCHN6,Unreal_touch_video_intensity#touch_A,Unreal_touch_video_intensity#tingling_A,Unreal_touch_video_intensity#itchiness_A,Unreal_touch_video_intensity#painfultouch_A,Unreal_touch_video_intensity#painwithouttouch_A,Unreal_touch_video_intensity#feelingofbeingscratched_A,Unreal_touch_video_intensity#other_A,Unreal_touch_video_intensity#otherreclassifiedastouch_A,ITCHN4,Itch_video_intensity#touch_B,Itch_video_intensity#tingling_B,Itch_video_intensity#itchiness_B,Itch_video_intensity#painfultouch_B,Itch_video_intensity#painwithouttouch_B,Itch_video_intensity#feelingofbeingscratched_B,Itch_video_intensity#other_B,Itch_video_intensity#otherreclassifiedastouch_B,Pain_video_intensity#touch_C,Pain_video_intensity#tingling_C,Pain_video_intensity#itchiness_C,Pain_video_intensity#painfultouch_C,Pain_video_intensity#painwithouttouch_C,Pain_video_intensity#feelingofbeingscratched_C,Pain_video_intensity#other_C,Pain_video_intensity#otherreclassifiedastouch_C,humantouchtotouch,specular,anatomical
20,Female,0,0,1,2,1,0,1,2, ,0,1,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,1,1,0,0,0,0, ,0,1,0,0,0,0,0, ,0,1,0
19,Female,0,0,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
21,Female,0,0,1,1,0,0,0,2, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,2,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,1
20,Female,1,0.1,1,1,0,0,0,2, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,2,0,0,0,0, ,0,0,0,0,0,0,0, ,0,2,0
18,Female,5,0.1,1,1,0,0,0,2, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,2,0,0,0,0, ,0,0,0,0,0,0,0, ,0,2,0
19,Female,0,0.25,1,2,1,0,2,0, ,0,1,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,2,0,0,0,0,0, ,0,0,0
20,Female,2,0.3,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
26,Female,3,0.3,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
18,Female,1,0.35,1,2,8,0,2,4, ,5,3,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,4,0,0,0,0, ,0,0,0,0,0,2,0, ,5,1,0
21,Female,1,0.4,1,1,0,0,0,2, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,2,0,0,0,0, ,0,0,0,0,0,0,0, ,0,2,0
19,Female,2,0.4,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
21,Female,3,0.45,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
18,Female,1,0.5,1,2,3,1,4,3, ,0,0,0,0,0,0,3,0, ,0,0,0,0,0,0,1,0, ,0,0,2,0,0,1,0, ,0,0,0,0,2,0,2,0,0,0,3
19,Female,3,0.5,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
22,Male,3,0.55,1,2,4,2,2,0, ,3,0,0,0,0,0,1,0, ,2,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,1,0,0,0,1,0, ,3,0,1
21,Female,0,0.7,1,1,0,0,2,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,2,0,0,0,0,0, ,0,0,0
20,Female,1,0.7,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
20,Female,3,0.7,1,2,1,0,0,2, ,1,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,2,0,0,0,0, ,0,0,0,0,0,0,0, ,1,1,0
19,Female,4,0.7,1,1,0,0,0,2, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,2,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,1
19,Female,5,0.7,1,2,2,0,3,4, ,0,2,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,4,0,0,0,0,0, ,0,2,0,0,0,0,1,0,0,3,1
19,Female,3,0.75,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
20,Female,5,0.75,1,2,1,0,1,4, ,0,1,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,1,3,0,0,0,0, ,1,0,0,0,0,0,0, ,0,3,1
18,Male,1,0.8,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
19,Female,2,0.8,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
19,Female,2,0.84,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
18,Female,0,0.85,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
19,Female,3,0.85,1,1,0,0,1,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,1,0,0,0,0,0, ,0,0,0
18,Female,2,0.9,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
51,Female,3,0.9,1,2,3,0,4,0, ,0,0,0,0,0,0,3,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,4,0,0,0,0
21,Female,4,0.9,1,3,14,1,6,4, ,8,3,0,1,0,2,0, , ,1,0,0,0,0,0,0, , ,0,0,4,0,0,0,0, ,0,1,0,2,2,1,0, ,11,6,0
19,Female,4,0.9,1,1,0,0,6,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,6,0,0,0,0,0, ,0,0,0
18,Female,4,0.9,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
18,Female,2,0.95,1,2,1,0,1,2, ,0,0,0,0,0,1,0, , ,0,0,0,0,0,0,0, , ,0,0,2,0,0,0,0, ,0,1,0,0,0,0,0, ,1,2,0
22,Female,2,1,1,2,3,0,1,1, ,0,3,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,1,0, ,0,1,0,0,0,0,0, ,0,1,2
18,Female,2,1,1,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
20,Female,3,1,1,1,0,0,2,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,1,0,0,0,0,1,0,0,0,0
18,Female,6,1,1,2,2,0,0,1, ,1,0,0,1,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0, ,2,1,1
18,Female,1,1.1,1,2,1,0,0,0, ,0,1,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,1
22,Female,1,1.1,1,1,0,0,5,1, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,1,0,0,0,0,0, ,0,5,0,0,0,0,0, ,0,0,0
19,Female,5,1.1,1,1,0,0,0,3, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,3,0,0,0,0, ,0,0,0,0,0,0,0, ,0,1,0
19,Female,5,1.14,2,2,1,0,0,2, ,0,1,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,2,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
20,Male,2,1.15,2,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
18,Female,2,1.2,2,1,0,0,0,1, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0, ,0,1,0
20,Female,2,1.2,2,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
18,Female,3,1.2,2,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
22,Female,4,1.2,2,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
18,Female,0,1.25,2,1,0,0,0,3, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,2,1,0,0,0,0, ,0,0,0,0,0,0,0, ,0,1,1
20,Female,3,1.25,2,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
18,Female,4,1.25,2,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
19,Female,5,1.25,2,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
24,Female,3,1.3,2,2,3,0,5,3, ,1,1,0,0,0,1,0, , ,0,0,0,0,0,0,0, , ,0,1,1,0,0,1,0, ,1,1,2,0,1,0,0, ,2,0,3
19,Female,3,1.3,2,2,1,0,3,0, ,0,1,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,2,0,0,1,0,0, ,0,0,0
18,Female,3,1.3,2,2,1,0,4,0, ,0,0,0,0,1,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,2,0,0,2,0,0, ,0,0,0
19,Female,3,1.3,2,1,0,0,0,3, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,3,0,0,0,0, ,0,0,0,0,0,0,0, ,0,3,0
45,Female,6,1.3,2,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
19,Female,4,1.35,2,2,1,0,0,1, ,0,1,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0, ,0,1,0
18,Female,5,1.35,2,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
18,Female,3,1.38,2,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
18,Female,3,1.4,2,1,0,1,0,0, ,0,0,0,0,0,0,0, , ,0,0,1,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
18,Female,4,1.4,2,1,0,0,5,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,5,0,0,0,0
19,Male,3,1.45,2,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
18,Female,4,1.45,2,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
19,Female,2,1.5,2,2,5,1,6,4, ,3,0,2,0,0,0,0, , ,0,1,0,0,0,0,0, , ,0,1,3,0,0,0,0, ,0,3,2,0,1,0,0, ,3,5,1
20,Female,3,1.5,2,2,1,0,0,1, ,1,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0, ,1,1,0
20,Male,4,1.5,2,1,0,0,2,3, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,3,0,0,0,0, ,0,0,0,0,0,0,2,0,0,1,1
39,Female,4,1.5,2,1,0,0,0,2, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,2,0,0,0,0, ,0,0,0,0,0,0,0, ,0,1,1
20,Female,5,1.5,2,2,2,0,3,0, ,2,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,1,2,0,0,0,0,0, ,2,0,0
23,Female,4,1.55,2,1,0,0,5,2, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,2,0,0,0,0, ,0,0,0,0,0,0,5,0,0,1,0
18,Male,4,1.57,2,1,0,0,0,0, ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, , ,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0
