Participantno,Total_Pain_Responses,Intensity,Regularity_of_experience_in_everyday_lfe,Localised_minus_general_response,Sensory_minus_affective_adjectives,VPQ_groups,SWASH_objective_score,SWASH_subjective_score,Quartiles_by_subjective_SWASH
1,11,4.31,7,1,-3,1,10,4.29,4
2,10,4.13,8,2,15,3,9,4.19,4
3,9,2.50,2,-7,-11,2,6,3.90,4
4,5,0.94,2,5,9,3,8,3.67,4
5,9,3.63,9,3,13,3,9,3.60,4
6,4,0.44,2,4,5,1,8,3.57,4
7,8,4.06,8,8,-19,2,6,3.50,4
8,3,0.94,8,1,3,1,8,3.45,4
9,12,4.00,7,4,3,1,9,3.43,4
10,0,0.00,5,0,0,1,7,3.38,4
11,0,0.00,5,0,0,1,7,3.35,4
12,11,1.69,8,-3,-1,1,7,3.34,4
13,11,2.38,8,-1,10,3,7,3.30,4
14,9,4.44,7,3,-10,2,6,3.30,4
15,1,0.31,5,1,2,1,6,3.30,4
16,10,2.13,7,-6,-2,1,8,3.30,4
17,3,1.31,4,-3,2,1,5,3.25,4
18,11,3.06,8,9,18,3,6,3.23,4
19,0,0.00,0,0,0,1,5,3.17,4
20,7,1.75,3,-5,5,1,6,3.17,4
21,2,0.38,6,2,3,1,4,3.15,4
22,5,1.56,5,1,8,3,6,3.10,4
23,8,0.81,6,8,-8,1,4,3.10,4
24,5,1.31,2,1,9,3,4,3.07,4
25,4,1.06,7,-2,-9,2,7,3.05,4
26,9,2.56,7,5,16,3,6,2.97,4
27,1,0.06,5,-1,0,1,8,2.95,4
28,7,0.50,4,2,2,1,6,2.95,4
29,0,0.00,0,0,0,1,8,2.94,4
30,8,3.63,5,-8,-2,1,6,2.90,4
31,3,0.44,1,3,4,1,7,2.90,4
32,6,0.94,3,-2,6,1,5,2.90,4
33,2,0.31,0,0,2,1,8,2.87,4
34,7,1.56,7,7,5,1,4,2.85,4
35,9,2.31,0,5,9,3,6,2.85,4
36,10,4.75,8,2,10,3,3,2.80,4
37,9,4.56,5,-5,-4,1,7,2.80,4
38,0,0.00,5,0,0,1,6,2.80,4
39,2,0.38,3,2,1,1,6,2.78,4
40,10,5.38,7,10,6,3,5,2.77,4
41,7,2.75,8,-5,-1,1,5,2.75,4
42,0,0.00,5,0,0,1,7,2.74,4
43,5,0.38,0,5,5,1,5,2.70,4
44,0,0.00,5,0,0,1,5,2.70,4
45,1,0.06,0,-1,0,1,7,2.68,4
46,8,2.00,5,-2,-3,1,5,2.65,4
47,9,2.69,4,1,3,1,3,2.65,4
48,4,1.44,2,4,8,3,7,2.65,4
49,2,0.63,3,-2,3,1,6,2.65,4
50,0,0.00,5,0,0,1,6,2.65,4
51,10,4.06,8,-10,-18,2,6,2.63,4
52,0,0.00,1,0,0,1,8,2.60,4
53,3,0.75,5,1,3,1,7,2.60,4
54,3,0.69,3,-1,4,1,6,2.60,4
55,3,0.69,1,3,4,1,4,2.57,4
56,0,0.00,0,0,0,1,6,2.55,4
57,12,2.63,7,2,17,3,6,2.55,4
58,2,0.69,5,-2,2,1,4,2.55,4
59,5,0.81,7,3,-11,2,6,2.54,4
60,6,1.00,3,6,12,3,5,2.54,4
61,0,0.00,0,0,0,1,3,2.52,4
62,4,0.88,5,4,3,1,5,2.50,4
63,0,0.00,5,0,0,1,5,2.50,4
64,11,4.19,6,-3,16,3,4,2.50,4
65,10,4.31,5,-10,-29,2,4,2.50,4
66,9,2.81,1,-9,26,3,7,2.48,4
67,0,0.00,1,0,0,1,4,2.47,4
68,8,1.44,0,2,-5,1,5,2.45,4
69,2,0.19,5,0,3,1,3,2.45,4
70,4,0.38,5,0,5,1,7,2.45,4
71,11,3.56,8,9,25,3,6,2.40,4
72,0,0.00,5,0,0,1,5,2.40,4
73,9,4.13,4,3,14,3,6,2.40,4
74,11,3.44,8,7,20,3,6,2.40,4
75,4,0.56,0,0,4,1,5,2.39,4
76,10,4.69,7,6,2,1,5,2.38,4
77,0,0.00,5,0,0,1,6,2.35,4
78,0,0.00,2,0,0,1,5,2.35,4
79,0,0.00,5,0,0,1,5,2.33,4
80,12,3.31,5,4,-6,1,5,2.32,4
81,12,3.31,5,4,-6,1,5,2.32,4
82,1,0.31,2,1,1,1,6,2.30,4
83,8,1.81,3,-2,-4,1,5,2.30,4
84,4,0.63,2,4,4,1,5,2.30,4
85,7,0.69,1,7,14,3,7,2.30,4
86,10,2.69,7,10,4,1,5,2.30,4
87,8,1.63,0,-2,4,1,2,2.29,4
88,1,0.25,2,1,1,1,7,2.28,4
89,5,1.31,7,1,1,1,6,2.25,4
90,1,0.06,5,1,1,1,6,2.25,4
91,0,0.00,1,0,0,1,5,2.25,4
92,14,7.25,4,0,31,3,3,2.25,4
93,11,1.19,2,11,22,3,6,2.25,4
94,0,0.00,1,0,0,1,5,2.25,4
