ParticipantNo,Age,Gender,Q1HandLowering,Q2MovingHandsTogether,Q3Mosquito,Q4Taste,Q5ArmRigidity,Q7ArmImmobilisation,Q9Music,Q10NegativeVisual,Q11Drawing,Q12Amnesia
1,19,female,1,1,1,0,1,1,0,0,0,1
2,20,female,1,1,1,0,1,1,0,1,1,1
3,19,female,1,0,0,0,1,1,0,0,0,0
4,27,male,0,0,0,0,0,0,0,0,0,0
5,20,female,1,1,0,1,1,0,0,0,0,0
6,19,female,1,1,0,0,1,1,0,0,1,0
7,18,female,1,1,0,0,1,0,0,0,0,0
8,18,female,0,1,0,0,0,0,0,0,1,0
9,19,female,0,0,0,0,0,0,0,0,0,1
10,19,female,0,0,0,0,0,0,0,0,1,0
11,19,female,1,1,0,0,1,1,0,1,0,0
12,18,male,1,1,0,0,0,0,0,0,1,0
13,18,female,1,1,0,0,0,0,0,0,0,0
14,18,female,0,1,1,1,1,0,0,1,0,1
15,21,female,0,1,0,0,1,1,0,0,0,1
16,18,male,1,1,0,0,0,0,0,0,0,0
17,20,female,1,1,1,1,1,1,0,0,1,0
18,18,female,1,1,0,1,1,1,0,0,0,0
19,18,female,0,1,1,1,1,1,0,1,0,0
20,18,female,1,1,1,0,1,1,0,0,0,0
21,19,female,0,1,0,1,0,1,0,0,0,0
22,18,female,0,1,0,0,1,1,0,0,0,1
23,33,female,1,1,1,1,1,1,0,1,0,0
24,18,female,1,1,0,0,0,1,0,0,0,0
25,19,male,1,1,0,0,1,1,0,1,0,0
26,27,female,0,1,0,0,0,0,0,0,0,0
27,19,male,1,0,0,0,0,0,0,0,1,0
28,17,male,1,1,0,1,0,0,0,0,0,0
29,19,female,1,1,0,1,1,0,0,0,1,0
30,18,female,1,0,1,0,1,0,0,1,1,0
31,18,female,1,0,0,0,1,1,0,0,0,0
32,20,female,1,1,0,1,1,0,0,0,1,0
33,18,female,0,0,0,0,0,0,0,0,1,0
34,18,female,1,1,0,1,1,1,0,1,1,1
35,18,female,0,0,0,0,0,0,0,0,1,0
36,18,female,0,1,0,1,1,1,1,0,1,0
37,19,female,1,1,1,1,1,0,0,0,1,0
38,19,female,1,1,1,1,0,1,0,0,0,0
39,18,female,1,1,0,1,1,1,0,1,1,0
40,19,female,0,1,0,1,1,0,0,0,0,0
41,19,male,1,1,0,0,1,1,0,0,0,0
42,18,female,1,1,1,0,1,1,0,0,0,0
43,19,male,0,0,0,0,0,0,0,0,0,0
44,19,female,0,1,0,0,1,0,0,1,0,0
45,18,female,1,0,0,1,1,1,0,0,0,1
46,19,female,1,1,1,1,1,1,1,0,1,0
47,18,female,1,1,0,0,1,1,0,0,0,0
48,22,male,0,1,0,0,0,1,0,0,0,0
49,19,female,1,1,0,0,1,1,0,0,0,0
50,19,female,1,1,0,0,1,0,0,0,0,0
51,18,female,1,1,0,0,1,0,0,0,0,0
52,17,female,0,0,0,0,0,1,1,0,0,0
53,18,female,1,1,0,0,1,1,0,0,0,0
54,18,male,0,0,0,0,1,1,0,0,0,0
55,20,female,1,1,1,0,0,0,0,0,0,0
56,18,female,1,1,0,1,0,0,0,1,0,0
57,18,female,1,0,1,0,1,1,0,0,0,0
58,18,female,0,0,0,0,0,0,0,0,0,0
59,18,male,0,0,0,0,1,1,0,0,0,0
60,18,female,1,1,0,0,1,1,0,1,0,0
61,18,female,1,1,0,1,1,0,0,1,1,0
62,19,female,0,1,0,1,1,1,0,0,0,0
63,18,female,0,0,0,1,0,1,0,0,0,0
64,18,male,1,1,0,0,0,0,0,1,0,0
65,20,female,0,0,1,1,1,0,1,0,0,0
66,18,female,1,1,0,1,1,1,0,1,0,0
67,20,male,0,1,0,0,0,0,0,0,0,0
68,18,female,1,0,0,0,0,1,0,0,0,0
69,18,female,0,1,1,0,1,1,1,0,0,0
70,19,female,1,1,0,1,1,0,0,1,0,0
71,18,female,1,0,0,0,1,1,0,0,0,0
72,18,female,1,1,0,1,1,0,0,0,0,0
73,19,female,1,1,0,0,1,0,0,0,0,0
74,20,male,1,0,0,0,1,0,0,0,0,0
75,18,male,1,1,0,0,1,0,0,0,1,0
76,23,male,0,0,0,0,1,1,0,1,0,0
77,19,female,1,1,0,0,1,0,0,1,0,0
78,18,female,0,1,0,1,1,1,0,0,0,0
79,18,female,1,1,1,0,1,1,0,1,0,0
80,18,female,1,0,0,0,1,0,0,0,0,0
81,18,female,1,1,0,0,0,0,0,0,0,0
82,27,female,1,1,1,0,1,1,0,0,0,0
83,18,female,0,1,1,0,0,0,0,0,1,0
84,18,female,1,1,1,0,1,1,0,0,0,0
85,18,female,1,1,1,1,1,1,0,0,0,0
86,20,female,1,0,1,1,1,1,0,0,0,0
87,18,female,1,1,0,0,1,0,0,0,1,0
88,19,female,0,0,0,0,0,0,0,0,1,0
89,19,female,1,1,1,0,0,0,0,0,0,0
90,21,female,0,0,0,1,1,0,0,0,1,0
91,18,female,1,1,1,1,1,0,0,1,1,0
92,19,female,1,1,1,0,0,1,1,0,0,0
93,20,female,1,1,0,0,1,1,0,1,0,0
94,20,female,1,1,1,1,0,0,0,0,0,0
95,19,female,1,1,0,0,0,0,0,0,0,0
96,18,male,1,1,1,1,1,0,0,0,1,1
97,18,male,1,1,1,1,1,1,0,0,0,0
98,18,female,1,1,0,0,0,0,0,0,0,0
99,18,female,1,1,0,0,1,1,0,0,1,0
100,18,female,1,0,1,0,1,0,0,0,0,0
101,18,female,1,1,1,0,1,1,0,0,1,0
102,18,male,1,1,1,0,0,0,0,0,1,0
103,19,male,0,1,0,1,1,0,1,1,0,0
104,21,female,1,1,1,0,1,1,0,0,1,0
105,18,female,1,1,0,1,1,0,0,0,0,0
106,18,female,1,1,0,0,1,1,0,0,0,0
107,19,female,0,0,1,0,0,1,0,0,0,0
108,18,female,1,0,1,0,0,1,0,0,0,0
109,18,female,1,1,0,1,1,0,0,0,1,0
110,19,female,1,1,0,0,0,1,0,0,1,0
111,18,female,1,1,1,0,1,0,0,0,1,0
112,18,female,0,1,1,0,1,0,0,0,1,0
113,18,female,1,1,1,0,1,1,0,0,1,0
114,18,female,1,1,1,1,1,0,0,0,0,0
115,18,female,1,1,0,1,1,0,0,0,0,0
116,19,female,1,1,0,0,1,0,0,0,0,0
117,19,male,1,0,1,0,0,0,0,0,0,0
118,18,female,1,1,1,1,1,1,0,1,0,0
119,18,female,0,1,0,0,1,0,0,0,0,0
120,18,female,1,1,1,1,1,1,0,1,1,0
121,18,female,1,0,0,1,1,0,0,1,0,0
122,20,female,1,0,1,1,1,0,0,1,0,0
123,19,female,1,1,0,0,1,1,0,0,0,0
124,31,male,0,1,0,0,1,0,0,1,0,0
125,19,female,1,1,0,0,1,1,1,0,0,0
126,19,female,1,1,1,0,1,0,0,0,0,0
127,22,female,1,1,1,0,1,1,0,0,0,0
128,19,female,1,1,0,0,1,0,0,0,0,0
129,18,male,1,1,0,0,0,0,0,0,0,0
130,21,female,1,1,0,1,0,0,0,0,0,0
131,18,female,1,1,0,0,1,0,0,0,0,0
132,18,female,1,1,0,0,1,1,0,1,0,0
133,19,female,1,0,1,1,1,0,0,0,1,0
134,20,male,1,1,0,0,1,0,0,0,1,0
135,18,female,1,1,0,1,1,0,0,1,0,0
136,18,female,1,1,1,0,1,0,0,0,0,0
137,19,female,1,0,1,0,1,1,0,1,0,0
138,18,female,1,1,0,0,0,1,0,0,0,0
139,18,female,1,1,0,0,1,0,0,0,0,0
140,20,female,1,1,0,1,0,0,0,0,0,0
141,18,female,1,1,0,0,1,1,0,0,0,0
142,18,male,1,1,0,0,0,0,0,0,0,0
143,20,male,1,1,0,0,0,0,0,0,0,0
144,20,female,1,1,0,1,0,0,0,0,0,0
145,18,female,1,1,1,1,1,1,1,0,0,1
146,18,female,1,1,0,0,0,1,0,0,0,0
147,18,female,1,1,0,0,0,0,0,0,0,0
148,18,female,1,1,0,1,0,0,0,1,0,0
149,20,female,1,1,0,1,0,0,0,1,0,1
150,18,female,1,1,0,0,1,0,0,0,0,0
151,19,male,1,1,0,0,1,0,0,0,0,0
152,25,female,1,1,1,0,1,1,0,0,0,0
153,18,female,1,0,0,1,1,1,0,0,0,0
154,19,female,1,1,1,1,1,1,0,1,0,0
155,18,female,1,1,0,0,1,1,1,0,0,0
156,18,female,1,1,0,0,0,0,0,0,0,0
157,19,female,0,0,0,0,0,0,0,0,0,0
158,19,male,1,1,0,0,1,1,0,0,1,0
159,18,female,1,1,0,0,1,1,0,0,0,0
160,19,female,1,1,0,0,1,1,0,0,0,0
161,18,female,0,1,0,0,1,1,0,0,0,0
162,18,male,1,1,0,0,1,0,0,0,0,0
163,18,female,1,0,0,1,1,0,0,0,0,0
164,18,female,1,1,0,0,1,1,0,1,0,0
165,18,female,0,1,0,0,1,0,0,0,0,0
166,19,female,1,1,0,0,1,0,0,0,0,0
167,20,female,1,1,0,0,1,0,0,0,0,0
168,19,female,1,0,0,0,0,1,0,0,0,0
169,18,female,0,1,1,0,1,0,1,1,0,0
