Age ,Q6,Q4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q25_16,Q25_17,Q25_18,Q25_19,Q25_20,Q25_21,Q25_22,Q25_23,Q25_24,Q25_25,Q25_26,Q25_27,Q25_28,DES time_Page Submit,DES_score,CODE,age,gender,PCSscore,1handlowersubj,2handtogethersubj,3mosquitosubj,4TasteAverage,5rigidsubj,6immobilizationsubj,7musicsubj,8ballssubj,9amnesiasubj,10spaceGeoMean,10spacebarsubj1,10spacebarsubj2,4Tastesweetsubj,4Tastesoursubj
20,Woman,1,1,4,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,1,1,9,1,0,1,0,0,0,0,244.898,0.964285714,903,19,Woman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Woman,1,0,7,0,0,0,0,0,0,0,7,8,7,1,2,6,0,6,9,8,8,10,10,3,0,0,0,0,1,517.675,3.321428571,448,18,Woman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Woman,1,3,7,0,0,1,0,0,0,1,2,1,2,0,3,2,1,5,2,1,7,3,5,7,1,0,0,2,1,903.737,2.035714286,657,21,Woman,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
19,Woman,1,5,9,1,0,1,0,2,0,0,8,6,5,3,4,7,1,1,1,1,1,6,10,7,5,1,0,2,4,166.275,3.25,808,18,Woman,0.1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
20,Woman,1,5,6,0,0,1,1,0,0,2,1,0,3,1,3,4,2,6,6,4,5,3,5,3,4,4,1,4,0,276.724,2.642857143,267,20,Woman,0.1,0,0,1,0,0,0,0,0,0,0,5,0,0,0
18,Woman,1,5,8,4,1,0,2,4,1,1,6,5,8,3,0,9,6,8,8,6,7,9,3,6,8,3,2,2,4,197.694,4.607142857,85,18,Woman,0.2,0,1,0,0,0,0,1,0,0,0,5,0,0,0
19,Woman,1,3,9,2,0,1,5,5,1,2,4,1,2,4,0,5,2,0,1,9,3,9,2,10,1,6,1,0,1,333.447,3.178571429,391,19,Woman,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Man,1,4,3,1,1,1,0,2,0,2,3,1,1,1,1,6,5,3,5,4,3,1,4,3,3,2,0,5,4,207.38,2.464285714,825,18,Man,0.3,2,1,0,0,0,0,0,0,0,0,5,0,0,0
20,Woman,1,1,3,0,0,0,4,0,1,1,1,0,0,0,7,1,1,2,1,4,1,10,1,10,1,2,0,0,0,308.316,1.857142857,686,19,Woman,0.316,0,0,0,0,0,0,0,0,0,3.16,5,2,0,0
18,Woman,1,7,9,0,0,0,0,0,0,5,7,8,8,6,6,10,0,8,10,0,0,8,10,5,5,0,0,3,0,715.737,4.107142857,174,18,Woman,0.25,2,0,0,0.5,0,0,0,0,0,0,0,0,1,0
