Durationinseconds,age,gender,Q20_PageSubmit,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Beliefquestions_1,Beliefquestions_2,Beliefquestions_3,Beliefquestions_4,Beliefquestions_5,Beliefquestions_6,Beliefquestions_7,Beliefquestions_8,past_life_experience,out_of_body_experience,spirit_world_experience,past_life_belief,out_of_body_belief,spirit_world_belief,Combined_anomalous_experience,CODE,age...34,gender.x,@1handlowersubj.x,@2handtogethersubj.x,@3mosquitosubj.x,@4TasteAverage.x,@5rigidsubj.x,@6immobilizationsubj.x,@7musicsubj.x,@8ballssubj.x,@9amnesiasubj.x,@10spaceGeoMean.x,@10spacebarsubj1.x,@10spacebarsubj2.x,@4Tastesweetsubj.x,@4Tastesoursubj.x,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q25_16,Q25_17,Q25_18,Q25_19,Q25_20,Q25_21,Q25_22,Q25_23,Q25_24,Q25_25,Q25_26,Q25_27,Q25_28,DEStime_PageSubmit,DES_score,DES_mean_centred,PCS,PCS_meancentred,DESxPCS
229,21,Woman,140.377,5,4,5,4,2,2,1,3,4,4,5,0,0,-1,-1,-1,1,2,1,4.666666667,2.666666667,3.4,0,-1,0.75,3.577777778,856,20,Woman,0,2,0,0.5,0,0,0,0,3,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,112.773,0.071428571,-2.545034844,0.55,-1.239148343,3.154
199,18,Woman,107.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881,18,Woman,5,5,0,0,4,4,0,0,1,2,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,227.264,0.107142857,-2.509320558,2.1,0.310851657,-0.78
224,18,Man,121.115,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,404,18,Man,1,2,1,1.5,1,5,0,0,1,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,366.25,0.285714286,-2.330749129,1.25,-0.539148343,1.257
151,19,Woman,82.229,0,0,0,2,1,0,0,0,0,0,0,-1,-2,-1,-2,-1,-2,-1,-1,0,1,0,-1.5,-1.5,-1.25,0.333333333,746,18,Woman,5,4,2,2,3,4,3,0,2,0,0,5,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,264.653,0.321428571,-2.295034844,2.5,0.710851657,-1.631
84,20,Woman,35.49,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,-2,1,1,0,-2,0,0,0,-1,-2,0,0,544,19,Woman,4,5,0,0.5,4,3,0,0,1,2.24,5,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,0,134.692,0.357142857,-2.259320558,1.974,0.184851657,-0.418
138,18,Woman,62.002,0,0,1,2,2,0,1,0,0,0,1,-1,-2,-1,-2,-1,-1,-1,-1,0.333333333,1.333333333,0.4,-1.5,-1.5,-1,0.688888889,109,18,Woman,4,4,1,2.5,5,2,0,0,2,1.732050808,3,1,3,2,3,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,303.201,0.392857143,-2.223606272,2.223205081,0.434056738,-0.965
214,19,Woman,99.039,0,0,0,2,0,0,1,1,1,0,0,-1,-2,-2,-2,-1,-1,-1,-1,0,0.666666667,0.6,-1.5,-2,-1,0.422222222,411,19,Woman,5,4,1,1.5,3,4,0,0,4,1.732050808,3,1,1,2,2,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,290.977,0.428571429,-2.187891986,2.423205081,0.634056738,-1.387
124,19,Woman,59.733,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,0.333333333,0,1,1,0.75,0.111111111,716,18,Woman,4,3,5,0,3,5,0,0,2,0,5,0,0,0,2,3,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88.352,0.428571429,-2.187891986,2.2,0.410851657,-0.899
310,21,Man,141.5,0,0,0,3,0,0,0,0,0,0,3,-1,-1,-1,-1,0,0,1,0,0,1,0.6,-1,-1,0.25,0.533333333,560,20,Man,4,4,1,3,4,2,0,0,2,0,2,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,7,0,0,0,0,0,1,0,702.768,0.428571429,-2.187891986,2,0.210851657,-0.461
90,19,Woman,44.75,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333333333,0,0.4,0,0,0,0.244444444,725,18,Woman,3,2,0,1,2,3,0,5,2,0,0,0,1,1,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,104.355,0.464285714,-2.152177701,1.8,0.010851657,-0.023
393,19,Woman,269.346,1,0,0,2,1,0,0,1,1,0,1,1,0,-1,-1,0,0,-1,-1,0.333333333,1,0.6,0.5,-1,-0.5,0.644444444,568,18,Woman,3,4,0,1,3,3,0,0,4,0,0,4,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,3,0,363.894,0.464285714,-2.152177701,1.8,0.010851657,-0.023
220,18,Woman,59.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,18,Woman,3,2,3,1.5,3,4,0,0,0,0,0,0,1,2,1,3,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,1,0,249.911,0.464285714,-2.152177701,1.65,-0.139148343,0.299
438,49,Man,195.303,0,0,0,0,0,0,0,0,0,0,2,-1,-1,0,-1,-2,-1,0,-1,0,0,0.4,-1,-0.5,-1,0.133333333,162,49,Man,2,0,2,0,1,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,1,1,0,2,0,0,0,0,0,399.827,0.464285714,-2.152177701,0.7,-1.089148343,2.344
328,44,Woman,177.434,0,0,2,0,0,0,2,0,1,0,0,-1,-1,-1,-1,0,1,0,0,0.666666667,0,0.6,-1,-1,0.25,0.422222222,565,43,Woman,5,4,3,1.5,5,5,1,0,1,0,3,0,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,2,2,1,0,1,0,0,0,0,0,418.048,0.5,-2.116463415,2.55,0.760851657,-1.61
96306,18,Woman,102.417,0,0,0,0,0,0,2,0,0,0,0,-1,0,-2,-2,0,0,-2,-2,0,0,0.4,-0.5,-2,-1,0.133333333,277,18,Woman,4,4,0,1.5,2,2,0,0,4,0,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,2,1,2,3,0,0,0,0,0,0,0,293.727,0.5,-2.116463415,1.75,-0.039148343,0.083
303,18,Woman,102.097,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-2,-2,-1,-1,-1,0,0,0,0,-1.5,-2,-0.75,0,349,18,Woman,4,2,0,0,3,4,0,0,2,0,0,5,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0,1,1,0,0,0,0,290.54,0.5,-2.116463415,1.5,-0.289148343,0.612
117,19,Woman,62.638,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0.8,1,0.5,1,0.266666667,143,19,Woman,4,4,2,3.5,2,4,0,0,4,3.464101615,3,4,4,3,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,176.274,0.535714286,-2.080749129,2.696410162,0.907261819,-1.888
236,20,Woman,152.974,2,0,0,1,0,0,2,1,2,0,0,-1,-1,1,-1,-1,-1,0,1,0.666666667,0.333333333,1,-1,0,-0.25,0.666666667,696,19,Woman,4,3,2,4,4,4,0,0,1,0,1,0,4,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,2,2,1,1,1,0,0,1,0,258.477,0.535714286,-2.080749129,2.2,0.410851657,-0.855
174,18,Woman,82.608,1,1,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,0,0,0.666666667,0,0,1,-1,-0.5,0.222222222,310,18,Woman,4,4,3,2,4,3,0,0,3,0,0,3,1,3,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,1,1,1,1,1,0,1,1,1,0,1,0,0,409.41,0.571428571,-2.045034844,2.3,0.510851657,-1.045
87,26,Woman,36.268,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,0,0,0,1,1,0.5,0,781,26,Woman,3,4,2,4.5,3,3,0,0,3,0,0,5,4,5,2,2,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,3,0,0,2,0,1,0,0,183.4,0.571428571,-2.045034844,2.25,0.460851657,-0.942
183,18,Woman,46.401,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-1,-2,-1,-1,1,-2,0,0,0,-2,-1.5,-0.75,0,133,18,Woman,5,5,0,1,5,2,0,0,0,0,4,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,5,0,3,0,0,0,0,214.576,0.571428571,-2.045034844,1.8,0.010851657,-0.022
89,19,Woman,36.629,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0.333333333,0,0,1,1,0.75,0.111111111,852,18,Woman,4,3,0,0,3,1,0,0,4,0,0,3,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0,1,2,0,1,0,1,1,0,0,0,138.001,0.571428571,-2.045034844,1.5,-0.289148343,0.591
228,19,Woman,67.148,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,0,0,0,1,0,0,0,-0.5,-1.5,0.25,0,370,19,Woman,3,3,1,0,3,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,4,1,1,1,0,0,0,0,314.411,0.571428571,-2.045034844,1.2,-0.589148343,1.205
261,24,Woman,140.597,0,0,0,0,0,0,5,2,0,0,3,2,2,0,-2,2,0,1,1,0,0,2,2,-1,1,0.666666667,598,23,Woman,3,4,2,4,3,4,0,0,2,2.45,2,3,3,5,1,2,0,0,1,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,2,0,0,3,2,0,0,0,491.137,0.607142857,-2.009320558,2.445,0.655851657,-1.318
192,19,Man,127.795,0,0,0,2,2,1,0,0,0,0,0,-2,-2,-2,-2,0,-1,-2,-2,0,1.666666667,0,-2,-2,-1.25,0.555555556,868,18,Man,4,4,2,3,4,1,0,0,1,0,0,0,4,2,4,2,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,3,2,0,0,0,0,0,0,0,249.712,0.607142857,-2.009320558,1.9,0.110851657,-0.223
252,18,Woman,115.219,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-2,0,-1,-1,-1,0,0,0,-0.5,-1.5,-0.75,0,92,18,Woman,3,1,4,0,1,1,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,7,3,0,0,0,1,0,0,322.286,0.607142857,-2.009320558,1,-0.789148343,1.586
182,19,Woman,104.735,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,519,18,Woman,5,2,1,1.5,4,3,0,5,0,0,4,0,2,1,0,3,0,0,2,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,2,0,0,0,0,0,0,0,223.46,0.642857143,-1.973606272,2.15,0.360851657,-0.712
439,19,Man,327.086,0,0,0,0,0,0,1,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0.4,-2,-2,-2,0.133333333,240,19,Man,1,3,1,3,2,4,0,0,1,0,4,0,2,4,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,5,2,2,0,0,0,0,0,477.09,0.642857143,-1.973606272,1.5,-0.289148343,0.571
252,19,Man,153.671,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,27,19,Man,2,1,0,0,3,0,0,0,0,0,0,5,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,1,1,1,2,1,0,0,0,0,0,1200.824,0.642857143,-1.973606272,0.6,-1.189148343,2.347
339,19,Woman,192.56,0,0,0,0,2,0,5,4,2,0,0,-1,-1,0,-2,2,0,1,2,0,0.666666667,2.2,-1,-1,1.25,0.955555556,536,18,Woman,5,4,2,1,3,4,0,0,1,1.41,2,1,0,2,3,4,1,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1,0,0,0,365.701,0.678571429,-1.937891986,2.141,0.351851657,-0.682
318,18,Woman,179.811,0,1,2,1,1,0,0,0,0,0,0,-1,0,0,-2,-1,0,-1,-1,1,0.666666667,0,-0.5,-1,-0.75,0.555555556,72,18,Woman,3,2,0,0.5,2,0,0,0,2,0,5,0,0,1,2,3,0,0,0,0,0,0,2,1,0,1,0,0,1,0,1,0,2,1,0,0,2,1,1,1,0,0,229.481,0.678571429,-1.937891986,0.95,-0.839148343,1.626
169,18,Another,98.078,0,0,2,1,0,1,4,0,0,1,0,-2,-2,-2,-2,1,1,1,1,0.666666667,0.666666667,1,-2,-2,1,0.777777778,254,18,Non-binary,3,2,4,1,2,2,2,0,2,0,0,5,1,1,0,1,0,0,0,0,1,0,0,2,0,0,1,1,2,0,1,1,0,3,3,0,0,1,1,0,2,0,228.766,0.714285714,-1.902177701,1.8,0.010851657,-0.021
