,Status,Progress,Duration (in seconds),Gender,Q20_Page Submit,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Belief questions_1,Belief questions_2,Belief questions_3,Belief questions_4,Belief questions_5,Belief questions_6,Belief questions_7,Belief questions_8,past_life_experience,out_of_body_experience,spirit_world_experience,past_life_belief,out_of_body_belief,spirit_world_belief,comb exp,CODE,age,gender,PCSscore,1handlowersubj,2handtogethersubj,3mosquitosubj,4TasteAverage,5rigidsubj,6immobilizationsubj,7musicsubj,8ballssubj,9amnesiasubj,10spaceGeoMean,10spacebarsubj1,10spacebarsubj2,4Tastesweetsubj,4Tastesoursubj
218,0,100,157,Woman,70.646,4,3,2,5,4,4,5,3,3,3,5,2,2,2,1,2,2,1,1,3,4.333333333,3.8,2,1.5,1.5,3.711111111,124,19,Woman,3.716227766,5,4,4,4,5,5,3,0,4,3.16227766,5,2,4,4
567,0,100,226,Woman,131.815,0,0,0,0,0,0,2,0,0,0,3,0,0,0,-1,1,1,-1,1,0,0,1,0,-0.5,0.5,0.333333333,442,19,Woman,3.4,3,3,3,3,4,3,4,4,4,3,3,3,3,3
303,0,100,124,Woman,76.495,4,3,2,3,2,1,1,0,0,0,0,-1,1,-2,-2,-2,0,-1,-1,3,2,0.2,0,-2,-1,1.733333333,385,18,Woman,3.273606798,5,4,2,3.5,4,5,2,1,4,2.236067977,5,1,4,3
66,0,100,222,Another,101.117,0,0,0,3,2,1,2,0,0,0,4,-1,-1,0,-2,1,1,2,1,0,2,1.2,-1,-1,1.25,1.066666667,807,19,Non-binary,3.1,4,4,5,2,4,5,0,3,4,0,0,5,3,1
295,0,100,171,Woman,30.656,2,1,2,2,1,2,2,3,2,3,2,0,-1,1,-1,1,-1,1,-1,1.666666667,1.666666667,2.4,-0.5,0,0,1.911111111,711,18,Woman,3.1,4,3,3,4,5,3,3,1,5,0,0,2,3,5
645,0,100,146,Woman,79.327,3,2,3,3,2,0,3,1,1,0,4,0,1,-1,0,1,1,2,1,2.666666667,1.666666667,1.8,0.5,-0.5,1.25,2.044444445,62,18,Woman,3.1,5,4,2,3,4,5,0,5,3,0,0,4,2,4
42,0,100,103,Woman,51.574,2,2,2,1,0,0,1,0,0,1,0,1,2,1,0,0,0,2,2,2,0.333333333,0.4,1.5,0.5,1,0.911111111,590,20,Woman,3,5,4,1,1,5,5,5,0,3,1,1,1,1,1
111,0,100,138,Woman,50.047,1,0,1,3,1,3,1,0,0,0,0,0,0,1,2,0,-1,1,0,0.666666667,2.333333333,0.2,0,1.5,0,1.066666667,527,18,Woman,2.95,5,5,4,4.5,4,5,2,0,0,0,5,0,5,4
167,0,100,122,Woman,58.908,2,2,0,3,3,3,2,1,0,0,1,1,0,1,0,1,1,0,0,1.333333333,3,0.8,0.5,0.5,0.5,1.711111111,458,18,Woman,3.024,5,2,5,4,4,4,0,0,4,2.24,5,1,3,5
388,0,100,391,Woman,208.151,1,0,2,3,0,2,1,1,0,0,3,-1,0,-1,0,0,0,0,0,1,1.666666667,1,-0.5,-0.5,0,1.222222222,237,18,Woman,2.95,5,4,3,2.5,3,4,1,1,3,3,3,3,2,3
