,Progress,Duration (in seconds),Finished,Q3,Q49,Q4,Q5,Q6,Q14_Page Submit,Flow questionnaire 1_1,Flow questionnaire 1_2,Flow questionnaire 1_3,Flow questionnaire 1_4,Flow questionnaire 1_5,Flow questionnaire 1_6,Flow questionnaire 1_7,Flow questionnaire 1_8,Flow questionnaire 1_9,Flow questionnaire 1_10,Flow questionnaire 2_1,Flow questionnaire 2_2,Flow questionnaire 2_3,Flow questionnaire 2_4,Flow questionnaire 2_5,Flow questionnaire 2_6,Flow questionnaire 2_7,Flow questionnaire 2_8,Flow questionnaire 2_9,Flow questionnaire 2_10,Flow questionnaire 3_1,Flow questionnaire 3_2,Flow questionnaire 3_3,Flow questionnaire 3_4,Flow questionnaire 3_5,Flow questionnaire 3_6,Flow questionnaire 3_7,Flow questionnaire 3_8,Flow questionnaire 3_9,Flow questionnaire 3_10,Flow_vacuuming,Flow_essay_writing,Flow_exercise,Flow_combined,CODE,age,gender,PCSscore,1handlowersubj,2handtogethersubj,3mosquitosubj,4TasteAverage,5rigidsubj,6immobilizationsubj,7musicsubj,8ballssubj,9amnesiasubj,10spaceGeoMean,10spacebarsubj1,10spacebarsubj2,4Tastesweetsubj,4Tastesoursubj
586,100,170,1,1,1,1,18,Woman,120.231,2,2,3,3,3,1,3,4,4,1,4,3,5,5,5,4,5,2,5,5,4,4,3,4,4,3,4,3,4,3,2.6,4.3,3.6,3.5,2,18,Woman,2.45,5,4,2,1.5,4,5,0,0,3,0,0,3,2,1
101,100,8316,1,1,1,1,18,Woman,107.386,1,0,3,3,3,4,0,0,0,0,0,0,2,2,1,3,2,0,0,4,0,0,0,3,4,3,1,0,0,0,1.4,1.4,1.1,1.3,4,18,Woman,2,3,3,0,1,3,5,0,5,0,0,0,5,0,2
123,100,125,1,1,1,1,19,Woman,101.168,3,2,3,3,4,2,2,1,3,3,4,4,3,4,3,5,4,2,3,4,5,4,5,5,2,5,4,2,4,5,2.6,3.6,4.1,3.433333333,5,19,Woman,1,2,3,0,0,3,2,0,0,0,0,0,5,0,0
196,100,163,1,1,1,1,18,Woman,116.201,2,1,3,4,3,3,2,1,2,3,4,3,4,5,4,4,5,3,3,5,4,4,5,5,4,4,5,3,4,4,2.4,4,4.2,3.533333333,9,18,Woman,2.373606798,3,4,4,2.5,2,3,1,0,2,2.236067977,5,1,3,2
70,100,166,1,1,1,1,18,Woman,139.105,0,0,1,1,0,0,0,1,2,2,3,4,4,3,2,2,4,3,3,5,4,5,2,5,3,2,5,2,2,2,0.7,3.3,3.2,2.4,12,18,Woman,0.4,1,0,0,0,1,0,0,0,2,0,5,0,0,0
509,100,91,1,1,1,1,19,Woman,69.265,5,4,5,5,5,4,4,2,2,4,1,0,0,0,0,0,0,0,0,0,2,3,1,2,3,2,2,3,2,3,4,0.1,2.3,2.133333333,13,19,Woman,2.966227766,5,4,3,1.5,5,5,0,0,3,3.16227766,5,2,2,1
360,100,141,1,1,1,1,20,Woman,96.435,5,5,5,4,5,4,5,0,4,5,3,1,0,3,1,2,3,0,1,1,5,5,5,5,5,5,5,5,5,5,4.2,1.5,5,3.566666667,14,20,Woman,0.95,3,0,0,1.5,3,0,0,0,2,0,0,3,0,3
440,100,177,1,1,1,1,18,Woman,144.767,0,0,3,1,1,1,0,0,0,0,3,2,4,4,4,5,4,1,4,5,3,3,4,4,3,4,4,4,3,4,0.6,3.6,3.6,2.6,15,18,Woman,2.05,4,3,2,3.5,5,3,0,0,0,0,0,5,3,4
512,100,131,1,1,1,1,19,Woman,110.772,4,3,4,4,4,4,4,2,4,3,3,2,2,2,3,3,2,2,3,2,3,3,4,4,4,3,4,2,4,4,3.6,2.4,3.5,3.166666667,18,19,Woman,2.55,4,3,2,1.5,4,4,0,0,2,5,5,5,1,2
260,100,163,1,1,1,1,18,Woman,124.957,1,0,1,3,2,1,2,1,3,1,4,5,4,5,3,5,5,3,5,4,3,4,4,5,5,5,5,2,5,3,1.5,4.3,4.1,3.3,19,18,Woman,1.4,4,5,0,0,3,0,0,1,1,0,0,0,0,0
