,...6,StartDate.x,EndDate.x,Status.x,Progress.x,Duration (in seconds).x,Finished.x,RecordedDate.x,RecipientLastName.x,RecipientFirstName.x,RecipientEmail.x,ExternalReference.x,LocationLatitude.x,LocationLongitude.x,DistributionChannel.x,UserLanguage.x,Q3.x,Q49.x,Q5,Q6.x,Q4.x,Q20_First Click,Q20_Last Click,Q20_Page Submit,Q20_Click Count,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Belief questions_1,Belief questions_2,Belief questions_3,Belief questions_4,Belief questions_5,Belief questions_6,Belief questions_7,Belief questions_8,Create New Field or Choose From Dropdown...,CODE,age,gender,1handlowersubj,2handtogethersubj,3mosquitosubj,4TasteAverage,5rigidsubj,6immobilizationsubj,7musicsubj,8ballssubj,9amnesiasubj,10spaceGeoMean,10spacebarsubj1,10spacebarsubj2,4Tastesweetsubj,4Tastesoursubj,StartDate.y,EndDate.y,Status.y,Progress.y,Duration (in seconds).y,Finished.y,RecordedDate.y,RecipientLastName.y,RecipientFirstName.y,RecipientEmail.y,ExternalReference.y,LocationLatitude.y,LocationLongitude.y,DistributionChannel.y,UserLanguage.y,Q3.y,Q49.y,Q14,Q6.y,Q4.y,Q14_First Click,Q14_Last Click,Q14_Page Submit,Q14_Click Count,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Q25_11,Q25_12,Q25_13,Q25_14,Q25_15,Q25_16,Q25_17,Q25_18,Q25_19,Q25_20,Q25_21,Q25_22,Q25_23,Q25_24,Q25_25,Q25_26,Q25_27,Q25_28,DES time_First Click,DES time_Last Click,DES time_Page Submit,DES time_Click Count,Duration__in_seconds
1,NA,26/04/2022 08:34,26/04/2022 08:35,0,100,90,1,26/04/2022 08:35,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,18,Woman,1,3.554,22.343,23.788,13,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0,0,-2,0,-1,-2,NA,857,18,Woman,4,4,2,3,2,2,0,0,3,0,5,0,3,3,26/04/2022 07:46,26/04/2022 07:50,0,100,254,1,26/04/2022 07:50,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,18,Woman,1,10.938,176.475,180.358,36,0,6,0,0,2,0,0,0,0,1,4,3,2,1,3,1,3,4,1,2,2,5,2,1,0,0,2,0,10.939,176.474,180.358,36,254
2,NA,16/04/2022 10:34,16/04/2022 10:37,0,100,192,1,16/04/2022 10:37,NA,NA,NA,NA,51.0434,-1.7279,anonymous,EN,1,1,19,Woman,1,13.587,86.155,86.907,16,0,0,0,2,2,0,0,0,3,0,5,2,0,1,2,1,-1,2,0,NA,583,18,Woman,3,4,0,2,3,2,0,2,1,0,4,0,4,0,16/04/2022 10:51,16/04/2022 10:56,0,100,272,1,16/04/2022 10:56,NA,NA,NA,NA,51.0434,-1.7279,anonymous,EN,1,1,19,Woman,1,7.151,249.548,250.37,44,9,6,0,0,0,0,0,0,0,8,0,0,4,0,6,0,0,0,0,0,8,5,0,7,1,0,1,0,7.153,249.548,250.37,44,272
3,NA,07/04/2022 10:07,07/04/2022 10:09,0,100,115,1,07/04/2022 10:09,NA,NA,NA,NA,51.5074,-0.1196,anonymous,EN,1,1,18,Woman,1,5.119,42.382,43.116,29,2,1,3,0,0,0,0,0,0,0,0,0,0,-1,0,-2,-1,-1,-2,NA,791,18,Woman,4,3,1,2,4,3,1,0,4,0,0,1,2,2,17/04/2022 11:10,17/04/2022 11:13,0,100,182,1,17/04/2022 11:13,NA,NA,NA,NA,50.7241,-1.7891,anonymous,EN,1,1,18,Woman,1,6.053,157.325,158.11,48,2,6,0,0,0,3,0,0,0,0,0,0,0,3,4,1,3,1,0,2,2,0,1,0,0,0,0,0,6.054,157.325,158.11,48,182
4,NA,28/04/2022 16:01,28/04/2022 16:03,0,100,94,1,28/04/2022 16:03,NA,NA,NA,NA,51.3913,-2.3654,anonymous,EN,1,1,20,Man,1,11.997,55.341,56.744,11,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,NA,882,20,Man,4,2,2,4.5,5,4,0,0,0,0,0,5,4,5,28/04/2022 14:48,28/04/2022 14:52,0,100,257,1,28/04/2022 14:52,NA,NA,NA,NA,51.3913,-2.3654,anonymous,EN,1,1,20,Man,1,6.247,233.036,233.887,38,2,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,9,0,9,1,0,0,1,0,0,0,4,6.246,233.035,233.887,38,257
5,NA,14/04/2022 03:41,14/04/2022 03:47,0,100,397,1,14/04/2022 03:47,NA,NA,NA,NA,41.387,2.1701,anonymous,EN,1,1,20,Woman,1,115.97,346.183,347.384,13,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08/04/2022 07:27,08/04/2022 07:43,0,100,936,1,08/04/2022 07:43,NA,NA,NA,NA,50.9169,-1.422,anonymous,EN,1,1,20,Woman,1,46.063,722.775,724.512,34,6,7,4,0,1,2,3,0,0,2,2,0,6,6,5,1,6,6,8,5,4,8,5,7,5,4,1,2,46.063,722.773,724.51,34,936
6,NA,26/04/2022 01:50,26/04/2022 01:52,0,100,143,1,26/04/2022 01:52,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,19,Man,1,2.637,67.469,68.66,29,0,1,0,2,1,0,0,0,0,0,0,0,-1,-1,-1,1,-2,-2,-2,NA,569,19,Man,4,4,0,0,3,2,0,0,3,0,0,0,0,0,26/04/2022 01:54,26/04/2022 01:58,0,100,238,1,26/04/2022 01:58,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,19,Man,1,3.524,208.124,209.008,73,7,8,3,0,0,0,0,0,0,2,1,3,6,4,5,1,3,6,8,7,10,3,2,2,0,0,0,6,3.526,208.125,209.008,73,238
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652,18,Woman,4,3,1,2.5,3,3,1,2,2,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,08/04/2022 15:10,08/04/2022 15:12,0,100,79,1,08/04/2022 15:12,NA,NA,NA,NA,50.80099487,-0.438095093,anonymous,EN,1,1,20,Woman,1,1.985,41.647,42.326,28,1,2,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,NA,709,20,Woman,4,3,0,0.5,1,0,0,0,1,2.45,2,3,1,0,29/09/2022 09:31,29/09/2022 09:33,0,100,123,1,29/09/2022 09:33,NA,NA,NA,NA,50.8345,-0.186,anonymous,EN,1,1,21,Woman,1,7.457,108.273,108.971,32,2,3,2,0,1,1,0,0,1,1,2,1,2,3,2,1,2,3,1,1,3,4,2,1,1,0,1,1,7.458,108.273,108.971,32,123
9,NA,27/04/2022 05:15,27/04/2022 05:18,0,100,217,1,27/04/2022 05:18,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,20,Another,1,37.958,140.887,141.988,13,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,22/04/2022 10:14,22/04/2022 10:17,0,100,153,1,22/04/2022 10:17,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,18,Woman,1,18.601,47.461,53.418,13,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,NA,752,18,Woman,2,3,1,2,5,4,0,0,0,0,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
