,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q49,Q5,Q6,Q4,Q20_First Click,Q20_Last Click,Q20_Page Submit,Q20_Click Count,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Belief questions_1,Belief questions_2,Belief questions_3,Belief questions_4,Belief questions_5,Belief questions_6,Belief questions_7,Belief questions_8,Create New Field or Choose From Dropdown...,CODE,age,gender,1handlowersubj,2handtogethersubj,3mosquitosubj,4TasteAverage,5rigidsubj,6immobilizationsubj,7musicsubj,8ballssubj,9amnesiasubj,10spaceGeoMean,10spacebarsubj1,10spacebarsubj2,4Tastesweetsubj,4Tastesoursubj
1,26/04/2022 08:34,26/04/2022 08:35,0,100,90,1,26/04/2022 08:35,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,18,Woman,1,3.554,22.343,23.788,13,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0,0,-2,0,-1,-2,NA,857,18,Woman,4,4,2,3,2,2,0,0,3,0,5,0,3,3
2,16/04/2022 10:34,16/04/2022 10:37,0,100,192,1,16/04/2022 10:37,NA,NA,NA,NA,51.0434,-1.7279,anonymous,EN,1,1,19,Woman,1,13.587,86.155,86.907,16,0,0,0,2,2,0,0,0,3,0,5,2,0,1,2,1,-1,2,0,NA,583,18,Woman,3,4,0,2,3,2,0,2,1,0,4,0,4,0
3,07/04/2022 10:07,07/04/2022 10:09,0,100,115,1,07/04/2022 10:09,NA,NA,NA,NA,51.5074,-0.1196,anonymous,EN,1,1,18,Woman,1,5.119,42.382,43.116,29,2,1,3,0,0,0,0,0,0,0,0,0,0,-1,0,-2,-1,-1,-2,NA,791,18,Woman,4,3,1,2,4,3,1,0,4,0,0,1,2,2
4,28/04/2022 16:01,28/04/2022 16:03,0,100,94,1,28/04/2022 16:03,NA,NA,NA,NA,51.3913,-2.3654,anonymous,EN,1,1,20,Man,1,11.997,55.341,56.744,11,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,NA,882,20,Man,4,2,2,4.5,5,4,0,0,0,0,0,5,4,5
5,14/04/2022 03:41,14/04/2022 03:47,0,100,397,1,14/04/2022 03:47,NA,NA,NA,NA,41.387,2.1701,anonymous,EN,1,1,20,Woman,1,115.97,346.183,347.384,13,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,26/04/2022 01:50,26/04/2022 01:52,0,100,143,1,26/04/2022 01:52,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,19,Man,1,2.637,67.469,68.66,29,0,1,0,2,1,0,0,0,0,0,0,0,-1,-1,-1,1,-2,-2,-2,NA,569,19,Man,4,4,0,0,3,2,0,0,3,0,0,0,0,0
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652,18,Woman,4,3,1,2.5,3,3,1,2,2,1,1,1,2,3
8,08/04/2022 15:10,08/04/2022 15:12,0,100,79,1,08/04/2022 15:12,NA,NA,NA,NA,50.80099487,-0.438095093,anonymous,EN,1,1,20,Woman,1,1.985,41.647,42.326,28,1,2,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,NA,709,20,Woman,4,3,0,0.5,1,0,0,0,1,2.45,2,3,1,0
9,27/04/2022 05:15,27/04/2022 05:18,0,100,217,1,27/04/2022 05:18,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,20,Another,1,37.958,140.887,141.988,13,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,22/04/2022 10:14,22/04/2022 10:17,0,100,153,1,22/04/2022 10:17,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,18,Woman,1,18.601,47.461,53.418,13,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,NA,752,18,Woman,2,3,1,2,5,4,0,0,0,0,0,1,2,2
11,07/04/2022 10:58,07/04/2022 11:02,0,100,192,1,07/04/2022 11:02,NA,NA,NA,NA,51.4224,-0.128,anonymous,EN,1,1,19,Woman,1,27.926,96.108,96.909,11,0,0,0,1,1,0,2,0,0,1,0,0,1,-1,0,0,1,1,0,NA,508,19,Woman,4,3,1,0.5,4,2,0,0,1,0,0,5,0,1
