ParticpantNo.,No. Resp,vEARscore,VidRating1,VidRating2,VidRating3,VidRating4,VidRating5,VidRating6,VidRating7,VidRating8,VidRating9,VidRating10,VidRating11,VidRating12,VidRating13,VidRating14,VidRating15,VidRating16,VidInPos1,VidInPos2,VidInPos3,VidInPos4,VidInPos5,VidInPos6,VidInPos7,VidInPos8,VidInPos9,VidInPos10,VidInPos11,VidInPos12,VidInPos13,VidInPos14,VidInPos15,VidInPos16
2130946,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,15,13,16,4,1,9,5,7,14,12,11,6,2,8
2131268,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,12,16,11,4,1,3,8,9,14,5,15,10,13,2
2131565,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,16,4,8,13,12,1,11,7,15,10,6,2,3,5,9
2131838,16,2.625,4,4,4,2,2,3,2,2,2,2,2,2,2,3,3,3,10,2,3,12,5,16,7,4,8,11,6,13,1,14,9,15
2132037,16,1.8125,3,1,1,3,3,3,1,4,1,2,0,1,2,1,3,0,5,8,4,6,1,9,2,15,11,10,16,12,14,7,3,13
2132039,16,2.375,3,1,2,4,4,1,3,3,4,3,4,0,1,1,2,2,16,15,11,2,13,14,6,10,3,1,9,12,7,8,5,4
2132040,16,0.5,0,1,0,2,1,0,1,0,0,1,0,0,0,1,1,0,9,6,16,3,14,12,1,5,8,2,15,4,11,7,10,13
2132041,16,4.25,4,4,4,4,5,5,5,5,4,4,5,4,3,4,3,5,3,4,16,12,11,9,5,13,14,1,15,10,2,6,7,8
2132043,16,0.25,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,10,5,13,15,11,3,4,16,14,8,9,2,7,1
2132044,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,12,10,11,7,15,16,1,9,3,8,13,4,6,14
2132045,16,1.875,2,2,2,2,0,3,1,2,3,2,2,2,0,3,1,3,2,4,6,15,5,16,9,13,10,14,8,1,12,7,11,3
2132046,16,0.875,1,1,0,3,0,2,1,0,0,1,0,0,0,2,3,0,5,11,1,9,13,16,15,4,10,14,3,8,12,6,2,7
2132047,16,0.125,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,12,10,4,15,1,5,9,14,13,7,11,3,6,16
2132049,16,1,2,1,3,0,2,0,3,1,0,1,1,0,0,0,1,1,10,16,3,2,9,5,13,7,8,12,1,6,15,11,14,4
2132050,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,6,5,7,12,14,13,4,1,9,16,11,10,3,2
2132051,16,1.375,3,0,2,1,3,3,0,3,3,0,0,0,0,0,1,3,8,12,13,4,2,1,9,3,14,6,11,15,5,7,16,10
2132052,16,1.375,1,0,2,2,0,1,3,1,2,3,0,3,0,0,2,2,12,7,8,1,15,6,5,14,3,9,10,16,13,11,4,2
2132053,16,0.4375,0,0,0,1,0,0,0,2,2,0,0,0,2,0,0,0,13,6,5,14,15,11,4,1,10,16,9,2,3,8,12,7
2132054,16,0.8125,2,0,4,0,0,0,0,2,0,0,0,1,0,2,0,2,8,16,15,2,5,6,14,1,10,13,7,12,9,4,11,3
2132055,16,0.4375,1,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,6,2,15,9,16,1,10,5,7,4,11,14,3,12,13,8
2132057,16,0.1875,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,15,7,5,11,4,9,12,1,3,16,10,6,14,13,2,8
2132058,16,0.25,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,6,13,11,12,9,7,16,3,15,4,10,14,8,2,1,5
2132059,16,0.5,4,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,12,4,6,10,15,11,5,1,16,9,7,2,3,8,14,13
2132060,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,5,3,10,16,13,15,8,9,14,12,1,2,6,4
2132062,16,1.3125,2,2,1,2,2,0,1,1,1,1,1,1,2,1,2,1,4,3,10,1,9,6,14,16,5,11,7,8,13,12,15,2
2132063,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,15,3,5,9,16,2,14,10,6,7,13,12,11
2132064,16,1.625,0,0,3,2,1,1,0,0,3,3,0,0,3,3,4,3,8,5,3,13,2,15,14,6,9,10,11,7,1,12,16,4
2132067,16,0.0625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3,7,16,9,1,11,14,5,10,6,15,4,12,13
2132068,16,0.5,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,14,9,15,6,3,4,11,12,5,8,16,13,7,10,2,1
2132069,16,3.0625,4,4,3,5,2,4,4,1,1,2,4,1,5,4,1,4,2,14,4,8,9,10,1,13,11,16,5,15,12,7,6,3
2132072,16,1.875,0,0,3,3,3,3,5,5,0,3,0,0,2,0,0,3,15,9,3,1,16,10,13,11,6,5,14,8,4,12,2,7
2132073,16,2.4375,3,2,2,5,3,3,4,3,2,2,0,2,4,1,3,0,14,12,7,3,15,10,9,4,1,5,6,11,13,16,2,8
2132074,16,2.4375,2,0,5,5,0,1,5,1,5,3,0,2,0,5,5,0,12,16,6,8,11,4,13,5,14,1,9,10,15,3,2,7
2132075,16,0.625,2,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,5,8,11,6,7,10,1,2,14,3,4,13,12,9,16,15
2132077,16,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,3,9,10,6,2,14,7,12,11,15,4,16,1,5,8
2132078,16,0.9375,0,0,3,0,0,0,0,0,3,0,4,0,0,5,0,0,7,16,9,5,6,12,15,4,14,8,3,2,10,13,1,11
2132079,16,1.5625,1,1,2,1,1,2,1,1,2,1,2,2,2,3,1,2,11,8,3,4,2,16,7,9,14,15,12,1,5,10,13,6
2132080,16,1.8125,2,3,1,0,3,0,4,0,1,4,3,0,3,0,0,5,2,15,11,7,3,14,10,5,6,13,8,16,4,12,9,1
2132081,16,0.5625,0,1,1,0,0,0,1,0,2,1,1,0,2,0,0,0,13,2,3,9,7,11,4,5,15,14,1,6,10,12,16,8
2132082,16,2.4375,1,3,5,1,1,4,1,3,4,3,1,5,4,0,1,2,16,6,1,5,11,7,8,9,3,14,12,13,2,15,4,10
2132084,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,4,13,14,8,3,10,1,11,16,5,12,2,15,6
2132085,16,3.1875,3,4,3,5,2,2,3,5,4,5,3,3,2,2,2,3,16,6,11,3,12,13,5,10,4,15,7,14,8,2,9,1
2132086,16,2.625,1,2,3,2,1,1,3,2,3,5,3,5,4,2,0,5,3,8,15,9,16,12,11,10,7,1,5,6,13,2,4,14
2132087,16,1.3125,0,0,0,0,0,3,4,5,0,0,0,4,5,0,0,0,8,4,5,12,11,15,3,6,10,13,2,14,1,16,9,7
2132091,16,1.5,1,0,3,3,1,0,1,0,2,2,1,2,2,1,2,3,8,16,12,1,14,2,15,13,6,9,7,10,3,5,11,4
2132099,16,3.25,4,4,4,3,2,4,3,3,3,3,4,3,2,2,4,4,11,2,6,4,14,13,8,7,15,9,16,12,10,1,3,5
2132102,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,4,15,2,14,11,8,6,1,10,9,13,16,7,3
2132128,16,0.375,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,13,16,11,7,3,6,5,14,12,1,15,9,10,8,2,4
2132147,16,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,8,13,4,7,10,1,14,12,5,3,6,2,15,11,9
2132197,16,2.5625,3,1,3,4,2,1,1,2,1,3,3,4,4,4,2,3,7,12,4,5,8,14,11,10,2,15,1,13,6,3,9,16
2132252,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,13,7,11,1,3,10,8,6,4,15,12,5,9,2
2132306,16,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,9,13,14,1,10,2,8,15,4,12,7,3,6,11,16
2132983,16,0.375,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,7,10,5,1,9,14,4,11,13,2,8,15,16,12,6,3
2132985,16,0.8125,0,0,0,0,0,0,2,2,3,0,4,1,0,1,0,0,1,10,14,6,7,4,5,12,3,8,9,13,15,16,11,2
2132986,16,2.75,0,2,2,3,1,4,0,3,4,4,3,2,3,4,5,4,12,10,13,9,5,3,11,2,1,16,6,8,4,15,14,7
2132988,16,0.375,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,11,8,7,14,10,1,4,9,15,12,5,13,6,3,2,16
2132989,16,0.3125,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,2,7,9,3,11,5,13,16,12,6,14,1,4,8,15
2132990,16,0.125,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,8,7,9,3,14,5,15,10,11,13,16,2,12,6
2132991,16,1.0625,1,2,0,1,2,1,3,1,0,1,1,0,2,0,1,1,3,4,8,16,13,11,14,6,5,2,9,12,7,15,10,1
2132992,16,0.375,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,6,14,1,3,11,12,2,5,13,16,7,8,10,9,15,4
2132993,16,0.75,2,0,0,3,3,1,0,0,1,0,0,0,0,0,1,1,14,16,4,13,3,12,2,15,11,7,6,8,5,10,9,1
2132994,16,0.0625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,16,7,2,10,13,6,4,9,8,3,12,14,5,15
2132995,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,4,15,9,13,5,10,3,6,8,2,12,1,7,14
2132996,16,0.3125,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,5,9,14,7,3,10,16,2,4,13,12,8,1,6,15
2132997,16,2.375,2,4,0,0,4,4,5,4,2,1,3,0,3,2,2,2,12,6,15,5,10,14,1,13,8,11,3,2,9,7,4,16
2132998,16,1.3125,0,2,3,0,3,0,4,5,0,0,0,0,0,4,0,0,13,3,9,14,10,15,16,1,6,5,11,8,12,4,2,7
2133000,16,2.0625,2,3,2,1,3,1,2,1,3,0,2,3,4,2,1,3,13,4,8,15,10,5,16,12,1,9,3,7,6,14,11,2
2133001,16,0.1875,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,8,11,2,9,16,13,14,1,6,12,15,4,5,10,7
2133002,16,0.125,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,10,6,13,9,16,12,1,8,2,15,14,4,7,3,5
2133003,16,0.5,1,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1,15,16,1,3,10,13,14,6,12,11,4,7,8,2,5,9
