Field,Description,,,
Participant No.,Participant Number,,,
No. Resp,Number of responses i.e. the number of videos rated,,,
vEARscore,The average video rating,,,
VideoRating1 - 16,Each of the individual video ratings in the order they were rated,,,
VidInPos1 - 16,"The reference number for the videos in position 1 through 16, see below.",,,
,,,,
Video name,Ref. No.,,,
penrose.mp4,1,,,
waveNet.mp4,2,,,
gyroscope.mp4,3,,,
brushWave.mp4,4,,,
bacteria.mp4,5,,,
dizzy.mp4,6,,,
gloop.mp4,7,,,
bubbleNet.mp4,8,,,
flippers.mp4,9,,,
rockingSphere.mp4,10,,,
flowerDisks.mp4,11,,,
figures.mp4,12,,,
inkBlot.mp4,13,,,
zoomOut.mp4,14,,,
blur.mp4,15,,,
barWave.mp4,16,,,
