ParticipantID,,,,,,
Age,,,,,,
Gender,,1= female 2 = male 3 = other 4 = prefer not to say,,,,
PrevVEAR,,Previous vEAR experience ,,,,
AveMusic,,Mean of negative and positively worded statement responses.,,,,
AveTinnitus,,Mean of negative and positively worded statement responses.,,,,
AvePhosphenes,,Mean of negative and positively worded statement responses.,,,,
AveEarworms,,Mean of negative and positively worded statement responses.,,,,
AveVEAR,,Mean of negative and positively worded statement responses.,,,,
AveMigraine,,Mean of negative and positively worded statement responses.,,,,
AveAura,,Mean of negative and positively worded statement responses.,,,,
AvePatternGlare,,Mean of negative and positively worded statement responses.,,,,
AveSneezing,,Mean of negative and positively worded statement responses.,,,,
AveConversations,,Mean of negative and positively worded statement responses.,,,,
AveInsomnia,,Mean of negative and positively worded statement responses.,,,,
PriorSyn,,"Previous synaesthesia experience 1 = yes, 2 = no 3 = not sure",,,,
vEARscoreFromVideoRatings,,Mean response to 16 vEAR videos,,,,
PCscore,,Mean response to 10 PCS suggestions,,,,
HandBecomesHeavy,,Subjective reponse to imaginative suggestion (0-5 scale),,,,
MagneticHands,,Subjective reponse to imaginative suggestion (0-5 scale),,,,
Mosquito,,Subjective reponse to imaginative suggestion (0-5 scale),,,,
Sweet,,Subjective reponse to imaginative suggestion (0-5 scale),,,,
Sour,,Subjective reponse to imaginative suggestion (0-5 scale),,,,
Taste,,Subjective reponse to imaginative suggestion (0-5 scale),,,,
StiffArm,,Subjective reponse to imaginative suggestion (0-5 scale),,,,
HandAndArmHeavy,,Subjective reponse to imaginative suggestion (0-5 scale),,,,
HappyBirthday,,Subjective reponse to imaginative suggestion (0-5 scale),,,,
ColouredBalls,,Subjective reponse to imaginative suggestion (0-5 scale),,,,
DifficultyRecalling,,Subjective reponse to imaginative suggestion (0-5 scale),,,,
PHS,,Subjective reponse to imaginative suggestion (0-5 scale),,,,
UrgeToPressSpace,,Subjective reponse to imaginative suggestion (0-5 scale),,,,
RecallbeingToldToPressSpace,,Subjective reponse to imaginative suggestion (0-5 scale),,,,
PCnoaudition,,Mean response to 8 non-auditory PCS suggestions,,,,
Incomplete_exclude,,Excluded for non-completion of study,,,,1 = Excluded
