dataset,item1,item2,pair_label,r_full,r2_full,r_rest,interitem_r,sb,item1_mean,item2_mean,is_prespecified_motor_pair,rank_by_r_full,rank_by_r_rest
df1 PCS,Arm rigidity,Arm immobilisation,Arm rigidity + Arm immobilisation,0.783,0.613,0.565,0.44,0.612,3.201,2.676,True,1,2
df1 PCS,Mosquito,Arm immobilisation,Mosquito + Arm immobilisation,0.759,0.576,0.538,0.28,0.437,1.656,2.676,False,2,6
df1 PCS,Mosquito,Arm rigidity,Mosquito + Arm rigidity,0.756,0.572,0.537,0.239,0.386,1.656,3.201,False,3,7
df1 PCS,Hand lowering,Arm immobilisation,Hand lowering + Arm immobilisation,0.747,0.558,0.543,0.335,0.502,3.643,2.676,False,4,5
df1 PCS,Arm immobilisation,Post-hypnotic,Arm immobilisation + Post-hypnotic,0.745,0.555,0.526,0.196,0.328,2.676,1.025,False,5,8
df1 PCS,Arm immobilisation,Music,Arm immobilisation + Music,0.741,0.549,0.581,0.163,0.281,2.676,0.266,False,6,1
df1 PCS,Taste,Arm rigidity,Taste + Arm rigidity,0.74,0.548,0.523,0.26,0.413,1.75,3.201,False,7,9
df1 PCS,Hand lowering,Mosquito,Hand lowering + Mosquito,0.737,0.544,0.552,0.052,0.098,3.643,1.656,False,8,4
df1 PCS,Taste,Arm immobilisation,Taste + Arm immobilisation,0.735,0.54,0.508,0.333,0.499,1.75,2.676,False,9,10
df1 PCS,Arm rigidity,Music,Arm rigidity + Music,0.728,0.531,0.564,0.137,0.241,3.201,0.266,False,10,3
df1 PCS,Arm immobilisation,Amnesia,Arm immobilisation + Amnesia,0.725,0.525,0.496,0.257,0.409,2.676,1.648,False,11,12
df1 PCS,Arm rigidity,Post-hypnotic,Arm rigidity + Post-hypnotic,0.723,0.522,0.487,0.219,0.359,3.201,1.025,False,12,15
df1 PCS,Arm rigidity,Amnesia,Arm rigidity + Amnesia,0.718,0.515,0.488,0.227,0.37,3.201,1.648,False,13,14
df1 PCS,Hands together,Arm immobilisation,Hands together + Arm immobilisation,0.713,0.509,0.485,0.301,0.463,3.094,2.676,False,14,17
df1 PCS,Hands together,Arm rigidity,Hands together + Arm rigidity,0.71,0.505,0.484,0.255,0.406,3.094,3.201,False,15,18
df1 PCS,Hand lowering,Arm rigidity,Hand lowering + Arm rigidity,0.706,0.498,0.469,0.43,0.602,3.643,3.201,False,16,20
df1 PCS,Hands together,Mosquito,Hands together + Mosquito,0.704,0.495,0.497,0.028,0.054,3.094,1.656,False,17,11
df1 PCS,Hand lowering,Taste,Hand lowering + Taste,0.696,0.484,0.495,0.141,0.246,3.643,1.75,False,18,13
df1 PCS,Arm immobilisation,Neg. visual,Arm immobilisation + Neg. visual,0.69,0.476,0.486,0.061,0.115,2.676,0.373,False,19,16
df1 PCS,Taste,Amnesia,Taste + Amnesia,0.684,0.468,0.469,0.047,0.09,1.75,1.648,False,20,21
df1 PCS,Arm rigidity,Neg. visual,Arm rigidity + Neg. visual,0.684,0.468,0.481,0.025,0.049,3.201,0.373,False,21,19
df1 PCS,Mosquito,Amnesia,Mosquito + Amnesia,0.678,0.46,0.437,0.118,0.212,1.656,1.648,False,22,25
df1 PCS,Hand lowering,Post-hypnotic,Hand lowering + Post-hypnotic,0.67,0.449,0.447,0.119,0.213,3.643,1.025,False,23,23
df1 PCS,Hands together,Taste,Hands together + Taste,0.66,0.436,0.438,0.115,0.207,3.094,1.75,False,24,24
df1 PCS,Taste,Post-hypnotic,Taste + Post-hypnotic,0.656,0.431,0.407,0.153,0.265,1.75,1.025,False,25,26
