dataset,n,criterion,kappa_weighted,kappa_unweighted,motor_lo_cut,motor_hi_cut,crit_lo_cut,crit_hi_cut,n_low_motor,n_mid_motor,n_high_motor,pct_low_motor,pct_mid_motor,pct_high_motor,n_low_crit,n_mid_crit,n_high_crit,pct_low_crit,pct_mid_crit,pct_high_crit,analysis,cutoff_pct,n_true_high,n_pred_high,pct_pred_high,kappa_binary,sensitivity,specificity,PPV,NPV,auc_top33
df1 PCS,244,full_total,0.548,0.446,5.0,7.0,1.7,2.2,99.0,79.0,66.0,0.406,0.324,0.27,82.0,83.0,79.0,0.336,0.34,0.324,three_group,,,,,,,,,,
df1 SWASH,240,full_total,0.657,0.55,3.0,6.0,1.15,1.887,90.0,83.0,67.0,0.375,0.346,0.279,82.0,78.0,80.0,0.342,0.325,0.333,three_group,,,,,,,,,,
df2 PCS-VVIQ,508,full_total,0.504,0.4,5.0,7.0,1.6,2.15,228.0,168.0,112.0,0.449,0.331,0.22,188.0,162.0,158.0,0.37,0.319,0.311,three_group,,,,,,,,,,
df3 SWASH,418,full_total,0.652,0.547,4.0,6.0,1.3,2.0,166.0,120.0,132.0,0.397,0.287,0.316,144.0,141.0,133.0,0.344,0.337,0.318,three_group,,,,,,,,,,
df5 vEAR PCS,452,full_total,0.522,0.41,5.0,7.0,1.6,2.15,205.0,143.0,104.0,0.454,0.316,0.23,169.0,141.0,142.0,0.374,0.312,0.314,three_group,,,,,,,,,,
df4 HGSHS:A inv,584,full_total,0.651,0.563,3.0,6.0,2.0,2.833,213.0,196.0,175.0,0.365,0.336,0.3,201.0,193.0,190.0,0.344,0.33,0.325,three_group,,,,,,,,,,
df4 HGSHS:A obj,584,full_total,0.554,0.459,0.0,1.0,5.0,7.0,231.0,210.0,143.0,0.396,0.36,0.245,274.0,167.0,143.0,0.469,0.286,0.245,three_group,,,,,,,,,,
df1 PCS,244,rest_score,0.325,0.262,5.0,7.0,1.438,1.875,99.0,79.0,66.0,0.406,0.324,0.27,83.0,80.0,81.0,0.34,0.328,0.332,three_group,,,,,,,,,,
df1 SWASH,240,rest_score,0.459,0.355,3.0,6.0,0.938,1.625,90.0,83.0,67.0,0.375,0.346,0.279,81.0,83.0,76.0,0.338,0.346,0.317,three_group,,,,,,,,,,
df2 PCS-VVIQ,508,rest_score,0.294,0.203,5.0,7.0,1.313,1.875,228.0,168.0,112.0,0.449,0.331,0.22,170.0,179.0,159.0,0.335,0.352,0.313,three_group,,,,,,,,,,
df3 SWASH,418,rest_score,0.448,0.363,4.0,6.0,1.125,1.688,166.0,120.0,132.0,0.397,0.287,0.316,163.0,117.0,138.0,0.39,0.28,0.33,three_group,,,,,,,,,,
df5 vEAR PCS,452,rest_score,0.335,0.24,5.0,7.0,1.333,1.874,205.0,143.0,104.0,0.454,0.316,0.23,151.0,150.0,151.0,0.334,0.332,0.334,three_group,,,,,,,,,,
df4 HGSHS:A inv,584,rest_score,0.522,0.442,3.0,6.0,2.1,2.8,213.0,196.0,175.0,0.365,0.336,0.3,211.0,185.0,188.0,0.361,0.317,0.322,three_group,,,,,,,,,,
df4 HGSHS:A obj,584,rest_score,0.347,0.267,0.0,1.0,0.4,0.6,231.0,210.0,143.0,0.396,0.36,0.245,245.0,218.0,121.0,0.42,0.373,0.207,three_group,,,,,,,,,,
df1 PCS,244,full_total,,,,,,,,,,,,,,,,,,,binary,8%,19.0,8.0,0.033,0.185,0.158,0.978,0.375,0.932,0.829
df1 PCS,244,full_total,,,,,,,,,,,,,,,,,,,binary,10%,24.0,8.0,0.033,0.211,0.167,0.982,0.5,0.915,0.829
df1 PCS,244,full_total,,,,,,,,,,,,,,,,,,,binary,12%,30.0,8.0,0.033,0.223,0.167,0.986,0.625,0.894,0.829
df1 PCS,244,full_total,,,,,,,,,,,,,,,,,,,binary,15%,36.0,32.0,0.131,0.454,0.5,0.933,0.562,0.915,0.829
df1 PCS,244,full_total,,,,,,,,,,,,,,,,,,,binary,20%,48.0,32.0,0.131,0.407,0.417,0.939,0.625,0.868,0.829
