sensitivity_check,variant,dataset,n,pearson_r,spearman_r,ci_lo,ci_hi,r2
scoring,motor_sum_vs_total,df1 PCS,244,0.783,0.77,0.732,0.827,0.613
scoring,motor_mean_vs_total,df1 PCS,244,0.783,0.77,0.732,0.827,0.613
scoring,motor_sum_vs_rest,df1 PCS,244,0.565,0.522,0.474,0.644,0.319
scoring,motor_mean_vs_rest,df1 PCS,244,0.565,0.522,0.474,0.644,0.319
z_scored,motor_z_vs_total_z,df1 PCS,244,0.783,0.77,0.732,0.827,0.613
z_scored,motor_z_vs_rest_z,df1 PCS,244,0.565,0.522,0.474,0.644,0.319
listwise_deletion,motor_sum_vs_total,df1 PCS,244,0.783,0.77,0.732,0.827,0.613
scoring,motor_sum_vs_total,df1 SWASH,240,0.849,0.85,0.814,0.88,0.72
scoring,motor_mean_vs_total,df1 SWASH,240,0.849,0.85,0.814,0.88,0.72
scoring,motor_sum_vs_rest,df1 SWASH,240,0.694,0.684,0.624,0.754,0.482
scoring,motor_mean_vs_rest,df1 SWASH,240,0.694,0.684,0.624,0.754,0.482
z_scored,motor_z_vs_total_z,df1 SWASH,240,0.849,0.85,0.814,0.88,0.72
z_scored,motor_z_vs_rest_z,df1 SWASH,240,0.694,0.684,0.624,0.754,0.482
listwise_deletion,motor_sum_vs_total,df1 SWASH,240,0.849,0.85,0.814,0.88,0.72
scoring,motor_sum_vs_total,df2 PCS-VVIQ,508,0.778,0.756,0.741,0.811,0.605
scoring,motor_mean_vs_total,df2 PCS-VVIQ,508,0.778,0.756,0.741,0.811,0.605
scoring,motor_sum_vs_rest,df2 PCS-VVIQ,508,0.549,0.52,0.483,0.612,0.302
scoring,motor_mean_vs_rest,df2 PCS-VVIQ,508,0.549,0.52,0.483,0.612,0.302
z_scored,motor_z_vs_total_z,df2 PCS-VVIQ,508,0.778,0.756,0.741,0.811,0.605
z_scored,motor_z_vs_rest_z,df2 PCS-VVIQ,508,0.549,0.52,0.483,0.612,0.302
listwise_deletion,motor_sum_vs_total,df2 PCS-VVIQ,508,0.778,0.756,0.741,0.811,0.605
scoring,motor_sum_vs_total,df3 SWASH,418,0.807,0.82,0.774,0.838,0.652
scoring,motor_mean_vs_total,df3 SWASH,418,0.807,0.82,0.774,0.838,0.652
scoring,motor_sum_vs_rest,df3 SWASH,418,0.63,0.637,0.57,0.687,0.397
scoring,motor_mean_vs_rest,df3 SWASH,418,0.63,0.637,0.57,0.687,0.397
z_scored,motor_z_vs_total_z,df3 SWASH,418,0.807,0.82,0.774,0.838,0.652
z_scored,motor_z_vs_rest_z,df3 SWASH,418,0.63,0.637,0.57,0.687,0.397
listwise_deletion,motor_sum_vs_total,df3 SWASH,418,0.807,0.82,0.774,0.838,0.652
scoring,motor_sum_vs_total,df5 vEAR PCS,452,0.785,0.772,0.748,0.819,0.617
scoring,motor_mean_vs_total,df5 vEAR PCS,452,0.785,0.772,0.748,0.819,0.617
scoring,motor_sum_vs_rest,df5 vEAR PCS,452,0.579,0.553,0.514,0.641,0.335
scoring,motor_mean_vs_rest,df5 vEAR PCS,452,0.579,0.553,0.514,0.641,0.335
z_scored,motor_z_vs_total_z,df5 vEAR PCS,452,0.785,0.772,0.748,0.819,0.617
z_scored,motor_z_vs_rest_z,df5 vEAR PCS,452,0.579,0.553,0.514,0.641,0.335
listwise_deletion,motor_sum_vs_total,df5 vEAR PCS,452,0.785,0.772,0.748,0.819,0.617
scoring_check,canonical_10item_total,df2 PCS-VVIQ,508,0.778,0.756,0.741,0.811,0.605
scoring_check,buggy_12col_total,df2 PCS-VVIQ,508,0.727,0.696,0.682,0.767,0.528
retest_check,vs_first_test_total_n418,df3 SWASH,418,0.807,0.82,0.774,0.838,0.652
retest_check,vs_retest_total_n66_original_bug,df3 SWASH,66,0.694,0.666,0.563,0.795,0.482
